sample,level,type,msfile
MS_A_POS,MS12,normal,data/MS_A_POS.mzML
MS_B_POS,MS12,normal,data/MS_B_POS.mzML
MS_C_POS,MS12,normal,data/MS_C_POS.mzML
MS_D_POS,MS12,normal,data/MS_D_POS.mzML
MS_E_POS,MS12,normal,data/MS_E_POS.mzML
MS_F_POS,MS12,normal,data/MS_F_POS.mzML
MS_QC_POOL_1_POS,MS12,normal,data/MS_QC_POOL_1_POS.mzML
MS_QC_POOL_2_POS,MS12,normal,data/MS_QC_POOL_2_POS.mzML
MS_QC_POOL_3_POS,MS12,normal,data/MS_QC_POOL_3_POS.mzML
MS_QC_POOL_4_POS,MS12,normal,data/MS_QC_POOL_4_POS.mzML
