sample,level,type,msfile
MS_A_POS,MS1,CVD,data/MTBLS8735/MS_A_POS.mzML
MS_B_POS,MS1,CTR,data/MTBLS8735/MS_B_POS.mzML
MS_C_POS,MS1,CTR,data/MTBLS8735/MS_C_POS.mzML
MS_D_POS,MS1,CVD,data/MTBLS8735/MS_D_POS.mzML
MS_E_POS,MS1,CTR,data/MTBLS8735/MS_E_POS.mzML
MS_F_POS,MS1,CVD,data/MTBLS8735/MS_F_POS.mzML
MS_QC_POOL_1_POS,MS1,QC_POOL,data/MTBLS8735/MS_QC_POOL_1_POS.mzML
MS_QC_POOL_2_POS,MS1,QC_POOL,data/MTBLS8735/MS_QC_POOL_2_POS.mzML
MS_QC_POOL_3_POS,MS1,QC_POOL,data/MTBLS8735/MS_QC_POOL_3_POS.mzML
MS_QC_POOL_4_POS,MS1,QC_POOL,data/MTBLS8735/MS_QC_POOL_4_POS.mzML
MSMS_2_A_CE20_POS,MS2,CVD,data/MTBLS8735/MSMS_2_A_CE20_POS.mzML
MSMS_2_A_CE30_POS,MS2,CVD,data/MTBLS8735/MSMS_2_A_CE30_POS.mzML
MSMS_2_A_CES_POS,MS2,CVD,data/MTBLS8735/MSMS_2_A_CES_POS.mzML
MSMS_2_E_CE20_POS,MS2,CTR,data/MTBLS8735/MSMS_2_E_CE20_POS.mzML
MSMS_2_E_CE30_POS,MS2,CTR,data/MTBLS8735/MSMS_2_E_CE30_POS.mzML
MSMS_2_E_CES_POS,MS2,CTR,data/MTBLS8735/MSMS_2_E_CES_POS.mzML
