id	charge	RT	mz	quality	MS_D_POS.mzML	MS_C_POS.mzML	MS_E_POS.mzML	MS_B_POS.mzML	MS_A_POS.mzML	MS_QC_POOL_1_POS.mzML	MS_QC_POOL_4_POS.mzML	MS_QC_POOL_3_POS.mzML	MS_F_POS.mzML	MS_QC_POOL_2_POS.mzML	adduct	feature_ids
1785900975374656749	0	82.99165732261993	487.36040904479603	4.467706e-05	2197.715	2499.9253	2055.4453	1789.191	1737.8285	2228.8013	1863.8395	2093.6409	1761.3936	1882.0083		[10439623260835028, 1044712869837677293, 8255359313751261084, 13434938090258432038, 6611651724778422779, 6514007915741181758, 9910643575331685078, 13622400593500328302, 8576840445153063035, 6767434073629945967]
10359796054321139656	0	145.38539250575081	141.95824493997765	2.636798e-05	1745.7393	987.70935	1540.5591	1862.1211	826.2672	555.4885	642.1507	1176.875	997.84753	1006.0284	[M+H]+	[31491152637877450, 16826451592456168833, 8068599664074804850, 6464523808413203855, 5666063643929228176, 34103220753352396, 18017540142257683859, 18304417896982538628, 13067811411735980624, 4462380577912974621]
17114916068296246246	1	203.54033600690855	151.03525124688937	0.0009835172	43793.85	42707.09	44408.4	35033.98	47008.12	31749.97	31151.19	33077.81	42819.7	33124.9	[M+H]+	[121786566209455346, 16662184219603302854, 10391571375373291180, 6457071323945180212, 11970217457235560574, 14447718463141837947, 339747629971835015, 2375312464065867183, 4604832451275080546, 7031196798042446496]
10875454315052802400	1	182.91349500255407	342.0154182768979	0.000209221	14125.54	11501.71	9088.26	6860.9673	12174.53	1247.731	2869.2278	2894.0437	12748.26	4556.092	[M+H]+	[130187692158764043, 8708957191126143269, 5655219185093029841, 2681974950133879067, 11690334267069218364, 6852739277572490447, 8036511958974945416, 4727078160596251772, 12438403636808050438, 2139273994093419654]
15167360593113340842	1	111.63677130346264	491.3001192047768	0.004628195	143542.6	173214.2	89948.01	93468.92	157576.2	198321.3	207862.4	206423.1	169903.5	204664.5	[M+H]+	[163715205785070798, 15732231754378009136, 1815995689225384925, 7542915335576868296, 1143625720170716891, 507331087698616839, 3562302806321896963, 7505406612227587827, 9609771726025269553, 15121949933064674051]
7744533318583132094	0	69.2898274833088	226.10510308003873	0.0001089778	1585.027	1210.8177	4690.5874	5135.8164	2573.8994	8646.111	6730.96	8941.185	2100.4517	7594.9097		[187646986737111775, 4895078714587075170, 8874446587635277267, 14587089710249538719, 3579826818993439146, 287883633720997587, 7031600434404040424, 15217431356117070291, 16633508156525387284, 17299363719902110475]
1718920057707733684	0	142.0959514006839	374.8091290391259	0.000159794	7369.8022	5918.5693	6250.251	6641.842	5735.305	8258.921	9196.043	9147.992	6168.7725	7804.082	[M+H]+	[272114063446088715, 6364675615750273491, 10764039471229787756, 14081320021399287263, 8119492395407493191, 9572226719554259540, 12703625143952456574, 11450680037959372555, 1502888573191002064, 3477355736931559647]
6744901733644451055	0	174.056816673455	336.15121803837656	0.0001051921	5886.109	4802.169	5141.211	2480.7393	6731.2915	4336.047	4037.6926	4297.844	5676.127	4517.161		[281069383466003409, 10716252577458293426, 3330410454273917588, 11237531827172063808, 7455253054154423117, 3363611473880620074, 836399575587256876, 11357707780499061335, 7197295282235004076, 14124717459233562557]
11872048905895506999	0	157.51898789275103	958.3160792499866	0.0002195743	11476.87	10514.19	10575.09	8486.273	9867.111	9133.133	9277.422	9498.344	10521.12	9515.199		[282777934477204079, 6137474448871422725, 3013388673755276248, 4111570359641876470, 16786638018046329241, 2499295562678750037, 11472226563598719011, 16220787320669633561, 10843811364753341464, 18238279927947719253]
13329452032929808115	0	28.22298727181797	795.5446081940194	0.0001040054	3449.8782	2679.616	2356.0645	3797.3372	6096.421	4147.0293	4504.331	5428.016	2820.938	4617.7646	[M+H]+	[305398861023148915, 10811933324636538024, 12720775522161451790, 97189042354856334, 12210918036999003342, 3515976270802303489, 3257449174373446308, 13426783946371204502, 17561315266655341053, 12746567182373438051]
17709464339328039509	0	142.7650621576428	122.92425160198074	0.0004820622	20796.74	18960.89	21024.62	21715.49	19383.73	23995.31	23487.57	24143.25	19712.1	23829.24		[308510446391320687, 13022675953026163554, 17732928905431080034, 6762219776932984718, 2750537408331238554, 462349952253807614, 6464195149106962938, 4345371325512916296, 6510553272940176912, 889787871684444835]
13922238524316478464	1	135.71988167691734	268.94637561591946	0.000345993	12335.74	16236.39	17866.43	11622.17	19050.57	9895.06	11016.59	10479.45	23974.61	12349.16	[M+H]+	[330612300123356105, 1128732713126793741, 11126374308108655039, 973040690771227261, 1107227949401590018, 16658169898355639806, 10463800592159673021, 15134856004548060930, 9355249273457691781, 11818853637965875692]
2400569994419920699	1	34.20951093264489	481.26222964396527	0.0006270301	29172.26	23823.34	28933.52	24521.29	22296.18	18919.14	25127.34	20840.16	22615.25	19010.51	[M+H]+	[331099538505507356, 13071847710031400831, 17321158556948339655, 18356118829444050903, 3716910999115233731, 3216862588096208566, 7462909449476980778, 17923666796211965491, 12764052479259630726, 8022936972295861081]
6532065193767172260	0	28.947468999090795	314.24733426248093	0.0001357206	8234.846	7421.798	6925.281	7032.2734	8715.597	3075.9556	3860.8867	3704.0315	7444.393	3498.2244		[333308554368054044, 15947561936854686971, 15632499109507543990, 9231352279047749022, 13661423084763285850, 13420521464924224356, 5928238695267636907, 1600806604834516922, 5293821383329589848, 4704866711464281951]
12300472036432118975	0	35.90749767940288	54.009995017679714	9.100655e-05	4719.9893	3053.7917	4290.784	4729.6123	4166.2817	3685.5854	4054.4998	4403.566	3755.968	3573.249		[348682048788828403, 12230239004998930736, 8407173592016994589, 2152343427640111933, 11301801816884194649, 179021038702125045, 15403839747567762264, 13000593803912937323, 9289730967244838851, 2336645095612831593]
7261731678087078534	0	130.2553856316496	564.248515892272	7.483742e-05	1841.7921	2675.0527	2610.558	4003.6694	2090.3733	2919.6343	3455.8794	3532.9897	1996.0343	3553.6204	[M+H]+	[385363691965795064, 16294733997114549183, 856810925522141635, 2945844496109926099, 17303032256239636023, 13748969754286863955, 12047141049071971785, 16838039269754978514, 11042830614267376016, 2046599476551001531]
7535654579891845623	0	161.63966158179485	218.91977684269347	8.454964e-05	3619.708	3953.683	3627.902	3846.9468	4304.069	3684.3633	3856.1409	3411.9768	3691.192	4036.2036		[391949775563821011, 8424868289621132790, 15426906912977238665, 10597659021446778651, 14256236774086070859, 2754257127170413621, 18444820293549349152, 15823781407006379134, 12779005227257265865, 3734586366270522198]
