id	query_spectrum_nr	ms2query_model_prediction	precursor_mz_difference	precursor_mz_query_spectrum	precursor_mz_analog	inchikey	analog_compound_name	smiles	cf_kingdom	cf_superclass	cf_class	cf_subclass	cf_direct_parent	npc_class_results	npc_superclass_results	npc_pathway_results
4051789042754256385	1	0.4887	78.8662	414.3008	493.167	UKTUQKGXNWDYAI	8-Hydroxycarapinic Acid	CC1(C)C(=O)[C@@H]2C[C@@]3(O)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CCC3C(C)(C2=O)[C@H]1CC(=O)O	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Limonoids	Limonoids	Triterpenoids	Terpenoids
4051789042754256385	2	0.4893	137.1192	414.3008	551.42	UTMFIKFVXBHDRL	(R)-1-(4-benzylpiperazin-1-yl)-4-((3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentan-1-one	O=C(N1CCN(CC=2C=CC=CC2)CC1)CCC(C)C3CCC4C5CCC6CC(O)CCC6(C)C5CC(O)C34C	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives		Steroids	Terpenoids
4051789042754256385	3	0.4832	39.9092	414.3008	454.21	NFUZCPRJHPTWRC	2-[2-oxo-4-(piperidylcarbonyl)hydroquinolyl]-N-(2,4,6-trimethylphenyl)acetamid e	Cc1cc(C)c(N=C(O)Cn2c(=O)cc(C(=O)N3CCCCC3)c3ccccc32)c(C)c1	Organic compounds	Organoheterocyclic compounds	Quinolines and derivatives	Quinoline carboxamides	Quinoline carboxamides		Tryptophan alkaloids	Alkaloids
4051789042754256385	4	0.409	96.6992	414.3008	511.0	KZVHAGNFWJIOMX	Jamaicamide B	CO\C(CCNC(=O)CC\C=C\C(C)CC\C(CCCC#C)=C\Cl)=C\C(=O)N1C(C)C=CC1=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines			
4051789042754256385	5	0.409	96.6992	414.3008	511.0	KZVHAGNFWJIOMX	Jamaicamide B	CO\C(CCNC(=O)CC\C=C\C(C)CC\C(CCCC#C)=C\Cl)=C\C(=O)N1C(C)C=CC1=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines			
4051789042754256385	6	0.409	280.0572	414.3008	694.358	RPJBXUNEXVNBIF	7-benzyl-11,14-dimethyl-16-(2-methylpropyl)-10,13-di(propan-2-yl)-17-oxa-1,5,8,11,14-pentazabicyclo[17.3.0]docosane-2,6,9,12,15,18-hexone	CC(C)CC1OC(=O)C2CCCN2C(=O)CCN=C(O)C(Cc2ccccc2)N=C(O)C(C(C)C)N(C)C(=O)C(C(C)C)N(C)C1=O	Organic compounds	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Cyclic depsipeptides	Cyclic peptides; Depsipeptides	Oligopeptides	Amino acids and Peptides; Polyketides
4051789042754256385	7	0.5571	760.3392	414.3008	1174.64	MRAKKDQIGHDJRU	Stenothricin H	CC1OC(CN(C(C(NC(C(NC(C(NC(/C(NC(C(NC(C(NC(C1NC(C(NC(CC(CCCCCCCCC(C)CCCCC)=O)=O)CS(O)(=O)=O)=O)=O)CO)=O)CN)=O)=C/C)=O)C(C)C)=O)CO)=O)CCCCN)=O)C)=O	Organic compounds	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Cyclic depsipeptides	Cyclic peptides; Depsipeptides; Lipopeptides	Oligopeptides	Amino acids and Peptides; Polyketides
4051789042754256385	8	0.409	53.9462	414.3008	468.247	VFUSKSIAISUKGN	Columbamide A	O=C(N(C)[C@@H](COC)COC(C)=O)CC/C=C/CCCCC(Cl)CCCCCCCl	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	Simple amide alkaloids	Peptide alkaloids	Alkaloids
4051789042754256385	9	0.409	81.0442	414.3008	495.345	HFGSQOYIOKBQOW	Corosolic acid	O=C(O)C12CCC(C)C(C)C2C3=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CC1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Ursane and Taraxastane triterpenoids	Triterpenoids	Terpenoids
4051789042754256385	10	0.5791	127.0932	414.3008	541.394	DXVLAUMXGHQKAV	Nonapropylene glycol	CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Monoacylglycerols	Glycerolipids	Fatty acids
4051789042754256385	11	0.409	153.2582	414.3008	567.559	KZTJQXAANJHSCE	Cer(d18:0/18:0)	CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Ceramides	Long-chain ceramides	Ceramides	Sphingolipids	Fatty acids
4051789042754256385	12	0.409	18.0492	414.3008	432.35	NQGYOUYEGZOZBN	korseveriline	OC1CCC2(C)C(C1)C(O)CC3C2CC4C5CN6CC(C)CCC6C(C)C5CCC43O	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroidal alkaloids	Cerveratrum-type alkaloids	Steroidal alkaloids	Pseudoalkaloids	Alkaloids; Terpenoids
4051789042754256385	14	0.4893	227.1012	414.3008	641.402	JWOGUUIOCYMBPV	(3S,6S,9S,12R)-3-[(2S)-butan-2-yl]-6-[(1-methoxyindol-3-yl)methyl]-9-(6-oxooctyl)-1,4,7,10-tetrazabicyclo[10.4.0]hexadecane-2,5,8,11-tetrone	CC[C@H](C)[C@@H]1NC(=O)[C@H](CC2=CN(OC)C3=CC=CC=C23)NC(=O)[C@H](CCCCCC(=O)CC)NC(=O)[C@H]4CCCCN4C1=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides	Cyclic peptides	Oligopeptides	Amino acids and Peptides
4051789042754256385	15	0.409	22.9352	414.3008	437.236	YZUUTMGDONTGTN	Nonaethylene glycol|2-[2-[2-[2-[2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol	OCCOCCOCCOCCOCCOCCOCCOCCOCCO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Ethers	Polyethylene glycols	Monoacylglycerols	Glycerolipids	Fatty acids
4051789042754256385	17	0.5902	216.8592	414.3008	631.16	VGGSULWDCMWZPO	Spinosin	O=C1C=C(OC=2C=C(OC)C(=C(O)C12)C3OC(CO)C(O)C(O)C3OC4OC(CO)C(O)C(O)C4O)C=5C=CC(O)=CC5	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid C-glycosides	Flavones	Flavonoids	Shikimates and Phenylpropanoids
4051789042754256385	18	0.6073	235.0742	414.3008	649.375	HXSUIFJHKMZLGO	Goniomedine A	CC[C@]1(C2)CC[C@]3([C@@]4(O)CC[N@@+]23CCC1)NC5=C4C=C(C[C@]6(C7=C(N8[C@]([H])(C(OC)=O)[C@@](/C(C9)=C\C)([H])C[C@]%10([H])N9CC6)C=CC=C7)[C@@]8%10O%11)C%11=C5	Organic compounds	Alkaloids and derivatives	Pleiocarpaman alkaloids		Pleiocarpaman alkaloids			
4051789042754256385	19	0.409	433.6992	414.3008	848.0	ZSYPDXOLYNZQGO	Apratoxin B	CC[C@H](C)[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@H](CC2=CC=C(OC)C=C2)NC(=O)\C(C)=C/[C@H]2CSC(=N2)[C@@H](C)[C@@H](O)C[C@H](C)C[C@H](OC(=O)C2CCCN2C1=O)C(C)(C)C	Organic compounds	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Cyclic depsipeptides	Cyclic peptides; Depsipeptides	Oligopeptides	Amino acids and Peptides; Polyketides
4051789042754256385	20	0.4896	290.1452	414.3008	704.446	TWHBYJSVDCWICV	Enniatin A	CCC(C)C1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)C(C)CC)C)C(C)C)C(C)CC)C)C(C)C	Organic compounds	Organic acids and derivatives	Peptidomimetics	Depsipeptides	Cyclic depsipeptides	Cyclic peptides; Depsipeptides	Oligopeptides	Amino acids and Peptides; Polyketides
4051789042754256385	21	0.409	31.8842	414.3008	446.185	RSBBEKUUSRJZBP	N-(3-fluoro-4-methylphenyl)-2-{4-[(7-methyl-2-oxochromen-4-yl)methyl]piperazin yl}acetamide	Cc1ccc2c(CN3CCN(CC(O)=Nc4ccc(C)c(F)c4)CC3)cc(=O)oc2c1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acid amides	Simple coumarins	Coumarins	Shikimates and Phenylpropanoids
4051789042754256385	22	0.409	495.0892	414.3008	909.39	KDQAABAKXDWYSZ	Vinblastine sulfate	O=C(OC1C(O)(C(=O)OC)C2N(C3=CC(OC)=C(C=C3C42CCN5CC=CC1(CC)C54)C6(C(=O)OC)C=7NC=8C=CC=CC8C7CCN9CC(CC(O)(C9)CC)C6)C)C.O=S(=O)(O)O	Organic compounds	Alkaloids and derivatives	Vinca alkaloids		Vinca alkaloids	Aspidosperma type; Aspidosperma-Iboga hybrid type (Vinca alkaloids)	Tryptophan alkaloids	Alkaloids
4051789042754256385	23	0.409	139.9692	414.3008	554.27	WNGVOVVMNRIJOX	(12bS)-7-(4-ethylphenyl)-12b-methyl-2-(3,4,5-trimethoxybenzyl)-2,3,6,7-tetrahydropyrazino[1',2':1,2]pyrido[3,4-b]indole-1,4(12H,12bH)-dione	O=C1N2CC(C3=CC=C(C=C3)CC)C=4C=5C=CC=CC5NC4C2(C(=O)N(CC6=CC(OC)=C(OC)C(OC)=C6)C1)C	Organic compounds	Organoheterocyclic compounds	Indoles and derivatives	Pyridoindoles	Beta carbolines			Alkaloids
4051789042754256385	24	0.409	149.2492	414.3008	563.55	FATBGEAMYMYZAF	9-Octadecenamide, (Z)-	CCCCCCCC/C=C\CCCCCCCC(=O)N	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	Fatty amides	Primary amides	Fatty amides	Fatty acids
4051789042754256385	25	0.409	44.9292	414.3008	459.23	KBKUJJFDSHBPPA	Cinobufotalin	O=C1OC=C(C=C1)C2C(OC(=O)C)C3OC34C5CCC6(O)CC(O)CCC6(C)C5CCC24C	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	Bufanolides and derivatives	Bufadienolides	Steroids	Terpenoids
4051789042754256385	26	0.409	44.9292	414.3008	459.23	KBKUJJFDSHBPPA	Cinobufotalin	O=C1OC=C(C=C1)C2C(OC(=O)C)C3OC34C5CCC6(O)CC(O)CCC6(C)C5CCC24C	Organic compounds	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid lactones	Bufanolides and derivatives	Bufadienolides	Steroids	Terpenoids
4051789042754256385	27	0.409	56.8262	414.3008	471.127	KEEWIHDTSNESJZ	Isosakuranin	O=C1C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C=C2OC(C4=CC=C(OC)C=C4)C1	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Flavonoid glycosides	Flavonoid-7-O-glycosides	Flavanones	Flavonoids	Shikimates and Phenylpropanoids
4051789042754256385	28	0.409	40.7692	414.3008	455.07	ZPIVVUOUQNSWHD	5-hydroxy-3-(4-hydroxyphenyl)-10-(2,3,4-trifluorophenyl)-9,10-dihydropyrano[2,3-f]chromene-4,8-dione	O=C1OC2=CC(O)=C3C(=O)C(=COC3=C2C(C4=CC=C(F)C(F)=C4F)C1)C=5C=CC(O)=CC5	Organic compounds	Phenylpropanoids and polyketides	Isoflavonoids	Pyranoisoflavonoids	Pyranoisoflavonoids	Isoflavones; Neoflavonoids	Isoflavonoids; Flavonoids	Shikimates and Phenylpropanoids
4051789042754256385	29	0.3459	1.0128	414.3008	413.288	SEQYPUIPGIGBNQ	Leupeptin analogue LVR (or VLR)	O=C(NC(C(NC(C=O)CCC/N=C(N)\N)=O)C(C)C)C(NC(C)=O)CC(C)C	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Dipeptides	Tripeptides	Small peptides	Amino acids and Peptides
