inchikey,kegg_id,id,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,analog_compound_name,smiles
YZUUTMGDONTGTN,C01731,4051789042754256385,0.409,22.9352,414.3008,437.236,Nonaethylene glycol|2-[2-[2-[2-[2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,OCCOCCOCCOCCOCCOCCOCCOCCOCCO
KBKUJJFDSHBPPA,C12048,4051789042754256385,0.409,44.9292,414.3008,459.23,Cinobufotalin,O=C1OC=C(C=C1)C2C(OC(=O)C)C3OC34C5CCC6(O)CC(O)CCC6(C)C5CCC24C
IOYZYMQFUSNATM,C02429,4051789042754256385,0.409,97.1372,414.3008,511.438,Thonizide,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1
WVULKSPCQVQLCU,C00193,4051789042754256385,0.5944,0.0002,414.3008,414.301,glycodeoxycholic acid,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1([C@H](CC3C2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
WVULKSPCQVQLCU,C00193,17351696255561211830,0.409,35.8012,414.2988,450.1,glycodeoxycholate,C(C2([H])3)CC([H])(C1)C(C)(C(CC([H])(O)C(C(C([H])(C)CCC(=O)NCC(O)=O)([H])4)(C)C(CC4)3[H])([H])2)CCC1([H])O
WVVSZNPYNCNODU,C03194,356441345885270616,0.5279,39.9301,366.1161,326.186,"(6aR,9S)-N-[(2S)-1-hydroxypropan-2-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",C[C@@H](CO)NC(=O)[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
QSLJIVKCVHQPLV,C02962,356441345885270616,0.409,269.3119,366.1161,635.428,h_61_17_epioxandrolone,O=C1OC[C@@]2(C)C(CCC3C2CC[C@@]4(C)C3CC[C@@]4(C)O)C1
HSCJRCZFDFQWRP,C06393,356441345885270616,0.409,199.2939,366.1161,565.41,UDP-glucopyranoside,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
GHCZAUBVMUEKKP,C10358,7939233295536706460,0.5673,0.0007,472.3037,472.303,GLYCOCHENODEOXYCHOLATE,CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
WWNNZCOKKKDOPX,C02576,17903984336110858254,0.5901,0.0008,160.0362,160.037,TRIGONELLINE,C[n+]1cccc(C(=O)[O-])c1
WWNNZCOKKKDOPX,C02576,17903984336110858254,0.5901,0.0008,160.0362,160.037,TRIGONELLINE,C[N+]1=CC(=CC=C1)C([O-])=O
WWNNZCOKKKDOPX,C02575,17903984336110858254,0.5901,0.0008,160.0362,160.037,TRIGONELLINE,C[n+]1cccc(C(=O)[O-])c1
WWNNZCOKKKDOPX,C02575,17903984336110858254,0.5901,0.0008,160.0362,160.037,TRIGONELLINE,C[N+]1=CC(=CC=C1)C([O-])=O
XTWYTFMLZFPYCI,C03130,11848251220247965223,0.5581,44.2645,472.3035,428.039,Adenosine 5'-diphosphate,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.7263,0.002,181.072,181.07,Theobromine,O=C1NC(=O)N(C=2N=CN(C12)C)C
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.8249,0.0,181.072,181.072,BML01082 Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.8558,0.0,181.072,181.072,Theobromine,CN1C=NC2=C1C(NC(N2C)=O)=O
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.6286,0.0,181.072,181.072,THEOBROMINE,CN1C=NC2=C1C(=NC(=O)N2C)O
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.6286,0.0,181.072,181.072,theobromine,Cn1cnc2c1c(O)nc(=O)n2C
YAPQBXQYLJRXSA,C02395,10711607233168750215,0.7904,0.0,181.072,181.072,Theobromine,Cn1cnc2c1c(=O)[nH]c(=O)n2C
QUNWUDVFRNGTCO,C01525,10711607233168750215,0.7654,0.0,181.072,181.072,PARAXANTHINE,CN1C=NC2=C1C(=O)N(C)C(=N2)O
QUNWUDVFRNGTCO,C01525,10711607233168750215,0.8461,0.001,181.072,181.073,"1,7-dimethyl-3H-purine-2,6-dione",CN1C=NC2=C1C(=O)N(C(=O)N2)C
QUNWUDVFRNGTCO,C01525,10711607233168750215,0.792,0.0,181.072,181.072,paraxanthine,Cn1c(O)nc2ncn(C)c2c1=O
QUNWUDVFRNGTCO,C01525,10711607233168750215,0.8558,0.001,181.072,181.073,"1,7-Dimethyl-1H-purine-2,6-dione",O=C(N1)N(C)C(=O)c(n(C)2)c(nc2)1
