inchikey,kegg_id,id,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,analog_compound_name,smiles
QUNWUDVFRNGTCO,C01525,5513821438695695284,0.6194,0.0001,181.0721,181.072,PARAXANTHINE - 40.0 eV,CN1C=NC2=C1C(=O)N(C)C(=O)N2
RGJOEKWQDUBAIZ,C04130,15068017531177497683,0.6337,417.5043,349.0757,766.58,CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O
SCABKEBYDRTODC,C06610,12984543218258452595,0.409,247.1194,188.1756,435.295,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC
CKTSBUTUHBMZGZ,C11544,12984543218258452595,0.409,267.0134,188.1756,455.189,2'-deoxycytidine,N=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(O)n1
KDXKERNSBIXSRK,C03062,12984543218258452595,0.5284,41.0626,188.1756,147.113,L-lysine,NCCCC[C@H](N)C(O)=O
ICUTUKXCWQYESQ,C05126,12984543218258452595,0.3459,126.8094,188.1756,314.985,"1-(4-chlorophenyl)-3-(3,4-dichlorophenyl)urea",Clc2ccc(NC(=O)Nc1ccc(Cl)cc1)cc2Cl
RVWOWEQKPMPWMQ,C06614,12984543218258452595,0.3459,109.1034,188.1756,297.279,Methyl 12-hydroxystearate,CCCCCCC(CCCCCCCCCCC(=O)OC)O
HXJDWCWJDCOHDG,C02052,12984543218258452595,0.5319,204.0094,188.1756,392.185,S-HEXYL-GLUTATHIONE,CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
HXJDWCWJDCOHDG,C02051,12984543218258452595,0.5319,204.0094,188.1756,392.185,S-HEXYL-GLUTATHIONE,CCCCCCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N
VPGRYOFKCNULNK,C03049,10232166245252355846,0.409,470.4726,274.9944,745.467,DEOXYCORTICOSTERONE ACETATE,CC(=O)OCC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
NZHGWWWHIYHZNX,C02517,10232166245252355846,0.409,380.2346,274.9944,655.229,Tranilast,COC1=C(C=C(C=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)OC
VOWAEIGWURALJQ,C04084,10232166245252355846,0.3459,56.1956,274.9944,331.19,"Dicyclohexyl benzene-1,2-dicarboxylate",O=C(OC1CCCCC1)C1=CC=CC=C1C(=O)OC1CCCCC1
RSIHSRDYCUFFLA,C11126,10232166245252355846,0.409,298.3996,274.9944,573.394,h_39_boldenone,O[C@H]1CCC2C3CCC4=CC(C=C[C@]4(C)C3CC[C@@]21C)=O
XMAYWYJOQHXEEK,C00542,10232166245252355846,0.409,256.1616,274.9944,531.156,"""1-[4-[4-[[(2R,4S)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone""",CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
RLCKHJSFHOZMDR,C18966,10232166245252355846,0.3459,38.3166,274.9944,313.311,Phytanic acid,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O
RLCKHJSFHOZMDR,C18965,10232166245252355846,0.3459,38.3166,274.9944,313.311,Phytanic acid,CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O
YQBNJPACAUPNLV,C06380,10232166245252355846,0.409,242.1926,274.9944,517.187,"3-methoxy-2-propan-2-ylfuro[3,2-g]chromen-7-one [IIN-based on: CCMSLIB00000846301]",COC1=C(OC2=C1C=C3C=CC(=O)OC3=C2)C(C)C
MIJYXULNPSFWEK,C08296,14474037681873664984,0.409,58.9094,538.2594,479.35,oleanolic acid,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CC1
SQMGCPHFHQGPIF,C08313,14474037681873664984,0.409,37.9734,538.2594,500.286,Aconine,OC1CC(OC)C23C4N(CC)CC1(COC)C3C(OC)C4C5(O)C(O)C(OC)C6(O)CC2C5C6O
RNPABQVCNAUEIY,C08302,14474037681873664984,0.4887,27.9494,538.2594,510.31,"(3S,4S,4aS,6R,6aS,6bS,7S,8R,8aR,9S,9aS,12S,15aS,15bS,16aR,16bS)-9,12,16b-trimethyldocosahydro-1H-4,16a-epoxybenzo[4,5]indeno[1,2-h]pyrido[1,2-b]isoquinoline-3,4,6,6b,7,8,9-heptaol",OC1CC2C3(O)OC4(CC5C6CN7CC(C)CCC7C(O)(C)C6C(O)C(O)C5(O)C14)C2(C)CCC3O
DJJCXFVJDGTHFX,C03141,14474037681873664984,0.2939,213.2164,538.2594,325.043,URIDINE-5-MONOPHOSPHATE,C1=CN([C@H]2[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O2)O)O)C(=O)N=C1O
MEHUJCGAYMDLEL,C08597,7587237039600355076,0.3459,108.0717,197.0913,305.163,Aleuretic Acid,O=C(O)CCCCCCC[C@H](O)[C@H](O)CCCCCCO
QZCLKYGREBVARF,C03742,7587237039600355076,0.3459,206.1417,197.0913,403.233,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC
WTDRDQBEARUVNC,C03162,7587237039600355076,0.3459,198.0537,197.0913,395.145,L_DOPA,C1=CC(=C(C=C1CC(C(=O)O)N)O)O
VGEREEWJJVICBM,C01639,7587237039600355076,0.3459,99.9787,197.0913,297.07,Phloretin,O=C(C=1C(O)=CC(O)=CC1O)CCC2=CC=C(O)C=C2
ZBMZVLHSJCTVON,C02181,4429367621208950258,0.6246,0.0005,273.1285,273.128,Sotalol,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
DOMXUEMWDBAQBQ,C02355,4429367621208950258,0.3459,19.0775,273.1285,292.206,Terbinafine,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21
QXKHYNVANLEOEG,C00857,4429367621208950258,0.409,159.9635,273.1285,433.092,"9-methoxy-7H-furo[3,2-g]chromen-7-one",COc(c(occ1)c1cc1C=C2)c1OC2=O
RRKTZKIUPZVBMF,C07446,17443073056666521057,0.5292,76.9611,472.2101,395.249,BRUCINE,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
JROGBPMEKVAPEH,C07216,17443073056666521057,0.409,81.0499,472.2101,553.26,Emetine Dihydrochloride,Cl.Cl.O(C=1C=C2C(=CC1OC)C(NCC2)CC3CC4C5=CC(OC)=C(OC)C=C5CCN4CC3CC)C
OJMMVQQUTAEWLP,C00659,17443073056666521057,0.5327,64.9891,472.2101,407.221,lincomycin,CCCC1CC(C(O)=NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1
MEZLKOACVSPNER,C02115,15601966555421525161,0.5284,84.9849,273.1279,188.143,(2R)-N-methyl-1-phenyl-N-prop-2-ynylpropan-2-amine,C[C@H](Cc1ccccc1)N(C)CC#C
SBHXYTNGIZCORC,C08902,15601966555421525161,0.3459,37.9221,273.1279,311.05,Eriodictyol,O=C1C=2C(O)=CC(O)=CC2OC(C3=CC=C(O)C(O)=C3)C1
RXZBMPWDPOLZGW,C02010,12681612279056591389,0.409,219.5327,617.9993,837.532,"(3R,4S,5S,6R,7R,9R,10E,11S,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethylox",CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O
GVJHHUAWPYXKBD,C03145,9993587683524183724,0.409,180.238,273.132,453.37,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-chromen-6-ol",OC=1C(=C(C=2OC(C)(CCC2C1C)CCCC(C)CCCC(C)CCCC(C)C)C)C
ANUCHZVCBDOPOX,C06963,13205810618867112585,0.3145,120.0771,160.0349,280.112,"Dibenz[a,j]acridine",C1=CC=C2C(C=CC3=NC4=C(C=C23)C2=CC=CC=C2C=C4)=C1
KCXVZYZYPLLWCC,C03166,13205810618867112585,0.3459,133.0621,160.0349,293.097,Ethylenediaminetetraacetic acid EDTA,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
UBQKCCHYAOITMY,C06645,10698027794495254283,0.6259,0.0001,96.0445,96.0444,2-HYDROXYPYRIDINE - 50.0 eV,OC1=CC=CC=N1
UBQKCCHYAOITMY,C06645,10698027794495254283,0.7308,0.0001,96.0445,96.0444,2-HYDROXYPYRIDINE,Oc1ccccn1
UBQKCCHYAOITMY,C06645,4882780294393822769,0.6259,0.0003,96.0446,96.0449,2-Hydroxypyridine,C1=CC(=O)NC=C1
GRFNBEZIAWKNCO,C05660,10698027794495254283,0.6259,0.0004,96.0445,96.0449,3-Hydroxypyridine,C1=CC(=CN=C1)O
GRFNBEZIAWKNCO,C05660,10698027794495254283,0.625,0.0004,96.0445,96.0449,3-Pyridyl alcohol,Oc(c1)cncc1
GRFNBEZIAWKNCO,C05660,4882780294393822769,0.7302,0.0002,96.0446,96.0444,pyridin-3-ol,OC1=CC=CN=C1
UGAGPNKCDRTDHP,C08267,1345762884801241829,0.3459,66.1,229.13,295.23,16-hydroxyhexadecanoic acid,O=C(O)CCCCCCCCCCCCCCCO
MPDGHEJMBKOTSU,C07912,1345762884801241829,0.409,241.87,229.13,471.0,Uralenic Acid,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
UDMBCSSLTHHNCD,C03207,16322289092804760267,0.5286,165.996,182.075,348.071,Adenosine 5'-monophosphate,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
LMFKRLGHEKVMNT,C07131,16322289092804760267,0.3459,132.121,182.075,314.196,"[(7S,8R)-7-hydroxy-5,6,7,8-tetrahydro-3H-pyrrolizin-1-yl]methyl (2S)-2-hydroxy-2-[(1R)-1-methoxyethyl]-3-methylbutanoate",CO[C@H](C)[C@@](O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@@H]12
ZJUKTBDSGOFHSH,C11627,16322289092804760267,0.5541,10.993,182.075,193.068,S-(5'-Adenosyl)-L-homocysteine,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
HPEUJPJOZXNMSJ,C05913,16322289092804760267,0.3459,117.235,182.075,299.31,methyl stearate,CCCCCCCCCCCCCCCCCC(=O)OC
OFEZSBMBBKLLBJ,C03491,16322289092804760267,0.5535,87.061,182.075,269.136,cordycepin,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O
OFEZSBMBBKLLBJ,C03491,7871519732086442797,0.5456,56.0213,196.0887,252.11,Cordycepin,OCC1OC(N2C=NC=3C(=NC=NC32)N)C(O)C1
HOZOZZFCZRXYEK,C06783,16322289092804760267,0.409,280.045,182.075,462.12,Scopolamine butylbromide,[Br-].O=C(OC1CC2C3OC3C(C1)[N+]2(C)CCCC)C(C=4C=CC=CC4)CO
HNDVDQJCIGZPNO,C03454,16322289092804760267,0.5273,25.998,182.075,156.077,HISTIDINE,C(C1=CN=CN1)[C@@H](C(=O)O)N
HNDVDQJCIGZPNO,C03454,16322289092804760267,0.5284,25.998,182.075,156.077,HISTIDINE,C1=C(NC=N1)C[C@@H](C(=O)O)N
FCEVNJIUIMLVML,C07995,16322289092804760267,0.3459,152.09,182.075,334.165,BML00790 Seneciphylline,CC=C1CC(=C)C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O
JLKIGFTWXXRPMT,C02269,16322289092804760267,0.409,347.02,182.075,529.095,Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
CPJSUEIXXCENMM,C01600,16322289092804760267,0.5284,1.973,182.075,180.102,N-(4-ethoxyphenyl)acetamide,CCOC1=CC=C(NC(C)=O)C=C1
SQVIAVUSQAWMKL,C00004,16322289092804760267,0.3775,0.043,182.075,182.118,Etilefrine|3-[2-(ethylamino)-1-hydroxyethyl]phenol,CCNCC(C1=CC(=CC=C1)O)O
STECJAGHUSJQJN,C05957,16322289092804760267,0.3459,121.925,182.075,304.0,Scopolamine,OCC(c(c4)cccc4)C(=O)OC(C2)CC(N(C)3)C(O1)C1C23
STECJAGHUSJQJN,C02876,16322289092804760267,0.3459,121.925,182.075,304.0,Scopolamine,OCC(c(c4)cccc4)C(=O)OC(C2)CC(N(C)3)C(O1)C1C23
STECJAGHUSJQJN,C02101,16322289092804760267,0.3459,121.925,182.075,304.0,Scopolamine,OCC(c(c4)cccc4)C(=O)OC(C2)CC(N(C)3)C(O1)C1C23
FQPFAHBPWDRTLU,C07224,5513821438695695284,0.6243,0.0001,181.0721,181.072,Aminophylline (Truphylline),N1(C(N(C2=C(C1=O)NC=N2)C)=O)C.N3(C(N(C4=C(C3=O)NC=N4)C)=O)C.NCCN
RDOIQAHITMMDAJ,C00686,5513821438695695284,0.409,296.1579,181.0721,477.23,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
RDOIQAHITMMDAJ,C00685,5513821438695695284,0.409,296.1579,181.0721,477.23,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide",CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
DEFVIWRASFVYLL,C03372,7871519732086442797,0.3459,185.0623,196.0887,381.151,Egtazic acid,C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
LSLYOANBFKQKPT,C00041,7871519732086442797,0.3121,108.0663,196.0887,304.155,Fenoterol,[H]Oc(c([H])2)c([H])c([H])c(c([H])2)C([H])([H])C([H])(C([H])([H])[H])N([H])C([H])([H])C([H])(O[H])c(c([H])1)c([H])c(O[H])c([H])c(O[H])1
HCZHHEIFKROPDY,C00566,7871519732086442797,0.3459,183.0033,196.0887,379.092,kynurenic_acid,C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O
PTGXAUBQBSGPKF,C01368,7871519732086442797,0.2939,104.1073,196.0887,300.196,Nylidrin|4-[1-hydroxy-2-(4-phenylbutan-2-ylamino)propyl]phenol,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
VCKPUUFAIGNJHC,C09621,4882780294393822769,0.409,375.1044,96.0446,471.149,3_hydroxy_DL_kynurenine,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N
IVENSCMCQBJAKW,C11713,9750239525216332245,0.5519,36.0012,138.0528,174.054,"6-chloro-2-N-ethyl-1,3,5-triazine-2,4-diamine",CC/N=c\1/[nH]c(=N)nc([nH]1)Cl
IVENSCMCQBJAKW,C11713,9750239525216332245,0.5273,36.0012,138.0528,174.054,"6-chloro-2-N-ethyl-1,3,5-triazine-2,4-diamine",CCNC1=NC(Cl)=NC(N)=N1
IVENSCMCQBJAKW,C11713,9750239525216332245,0.3775,36.0012,138.0528,174.054,Desisopropylatrazine,CCNc1nc(N)nc(Cl)n1
PKOFBDHYTMYVGJ,C06241,9750239525216332245,0.3775,76.9952,138.0528,215.048,N-(4-sulfamoylphenyl)acetamide,CC(=O)NC1=CC=C(C=C1)S(N)(=O)=O
COESHZUDRKCEPA,C08640,9750239525216332245,0.3459,199.8502,138.0528,337.903,"beta-(3,5-dibromo-4-hydroxyphenyl)alanine",C1=C(C=C(C(=C1Br)O)Br)CC(C(=O)O)N
YNBADRVTZLEFNH,C04545,9750239525216332245,0.7643,0.0022,138.0528,138.055,METHYL NICOTINIC ACID,COC(=O)C1=CC=CN=C1
BHTRKEVKTKCXOH,C08395,3043165930917491123,0.8091,0.0037,538.2547,538.251,tauroursodeoxycholic acid,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
