"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","CTR","CVD","QC","ms_level"
"FT0001",50.9897946401403,50.9894902483436,50.990380610754,203.600252279405,203.118254131087,204.23300992464,8,1,3,4,1
"FT0002",51.059035992328,51.0587956306977,51.0594084658822,191.167528723345,190.878755507035,191.504946681612,9,2,3,4,1
"FT0003",51.9865730172271,51.9863066940782,51.9869917239185,203.146824816287,202.640794268916,203.671133345506,7,0,3,4,1
"FT0004",53.0203569195002,53.0200877601652,53.0204302384725,203.234295090479,202.565364995393,204.09012102076,10,3,3,4,1
"FT0005",53.5208004472819,53.5205135408259,53.5210171096085,203.19379042701,202.848916804663,204.09012102076,10,3,3,4,1
"FT0006",54.0100702952703,54.0098786866455,54.0101476805285,159.281630787851,158.849872827566,159.448446495297,6,1,3,2,1
"FT0007",54.0100997278852,54.0098381924059,54.0102957463581,235.903634505526,230.29315900117,239.836748410965,19,2,3,4,1
"FT0008",54.0101627549669,54.0099497749026,54.0102871388678,224.125521975781,219.983721254129,228.314273160214,15,2,3,3,1
"FT0009",54.0101833521175,54.0100197598256,54.0104759086494,206.795806200575,201.744664350205,211.003558607226,10,2,3,4,1
"FT0010",54.0100902835015,54.0100572417502,54.0101880815163,215.123762373391,214.750236277287,216.858228477578,5,1,3,1,1
"FT0011",54.9386543651367,54.9381942496701,54.9388123444239,210.542978897919,206.795413534263,211.006851543551,8,3,2,3,1
"FT0012",56.0508194849582,56.0504371971394,56.0510980751536,170.635601395148,170.176335615564,171.107669962102,10,3,3,4,1
"FT0013",56.9659739979436,56.9658682479653,56.9661534377289,211.935908458593,207.676976041954,213.219909345245,10,3,3,4,1
"FT0014",57.9357051156465,57.9355050116922,57.9358311381846,201.898735005064,201.203036932383,202.589739347368,10,3,3,4,1
"FT0015",58.0665760401373,58.0664688802343,58.0669661819709,185.316678925188,185.270604707619,185.557115481049,7,1,2,4,1
"FT0016",59.0615549921815,59.0612339749494,59.0616808048361,22.3129535638436,18.9674332398887,23.9423655475191,8,2,3,3,1
"FT0017",59.9309854096681,59.9308206390816,59.9310939139891,201.222467079762,201.182791133877,201.329387464548,4,0,0,4,1
"FT0018",60.0454505582016,60.0452680187298,60.0455768193414,159.560915314696,159.02328929559,159.723425104197,8,3,2,3,1
"FT0019",60.0455400213114,60.0454704815284,60.0455846544185,148.800945315941,148.116784427021,149.156338121569,5,2,3,0,1
"FT0020",60.0455995235195,60.0455223564155,60.0458369008276,179.254555196227,178.97690015516,179.481494451783,8,3,2,3,1
"FT0021",60.0572460199343,60.0570403228127,60.0575582798395,170.690431896164,170.176335615564,170.886080818135,8,3,2,3,1
"FT0022",61.0086641773355,61.008131649238,61.0088593687797,235.455602956542,229.04740601519,239.498780133285,32,2,3,4,1
"FT0023",61.0087356716695,61.0083713631717,61.0089148689455,223.578074551857,219.155174761297,228.314273160214,27,2,3,4,1
"FT0024",61.0087806585689,61.0085948222888,61.0088552285155,212.576616459666,212.137396603491,212.960661686346,6,3,3,0,1
"FT0025",61.008828065532,61.0087704063848,61.008851320502,207.935146480534,207.819781896382,208.251941574437,4,0,0,4,1
"FT0026",61.0408103078628,61.0406755177955,61.0408869901108,69.2023611043749,65.2392149463759,70.536985663253,8,2,2,4,1
"FT0027",61.0408163502976,61.0407499105546,61.0410315057399,74.3836002589229,74.1440874115477,76.4059101770992,6,0,0,4,1
"FT0028",61.5099914567878,61.509860973559,61.5101098707664,212.576616459666,212.137396603491,212.943283896424,6,3,3,0,1
"FT0029",61.5100127349768,61.5098504743222,61.5102887809229,207.935146480534,207.819781896382,207.975100034788,4,0,0,4,1
"FT0030",62.0249777132464,62.024575209618,62.0252821646988,203.402553582051,202.640794268916,203.813478621237,7,2,2,3,1
"FT0031",63.0048448926828,63.0046610192973,63.0049480000728,212.696689912199,211.98240899643,213.219909345245,5,2,3,0,1
"FT0032",63.0050795026442,63.0048823491977,63.0052566407649,207.687620475927,207.266584751369,207.913541083959,4,0,0,4,1
"FT0033",63.0492127068842,63.048729298491,63.0496424494131,179.127788508613,178.782618896623,179.466873432845,10,3,3,4,1
"FT0034",65.9659474389407,65.965783322609,65.9662501742752,211.796081974543,207.6982649099,213.219909345245,10,3,3,4,1
"FT0035",67.0227100794744,67.0223377896029,67.0227862478719,203.367613198329,202.565364995393,203.813478621237,10,3,3,4,1
"FT0036",67.5233327205495,67.5228371864311,67.5235871008452,203.437392400486,202.848916804663,203.813478621237,8,2,2,4,1
"FT0037",68.0210828082368,68.0206799558318,68.0217598617738,203.274689199169,202.841813733082,203.813478621237,10,3,3,4,1
"FT0038",68.4960614642981,68.4959834839961,68.4963134736941,210.459454697261,206.795413534263,211.006851543551,9,3,2,4,1
"FT0039",68.9815753239076,68.9810873283562,68.9825217531308,203.632780838886,202.920560808439,204.366773014143,6,2,0,4,1
"FT0040",68.9944890113874,68.9941927538363,68.9947633153369,233.517460923664,226.099710972421,238.515644273879,30,3,3,4,1
"FT0041",68.9945224126827,68.9943378035154,68.9947226993017,221.504147378757,215.066388615843,224.222202069347,12,1,3,1,1
"FT0042",68.9946138800071,68.9942321907808,68.9947561619438,207.702626560728,202.288902058654,210.626503098577,8,1,3,2,1
"FT0043",68.9945100347158,68.99421761233,68.9946083197056,169.617776599968,169.371929590662,172.865847438036,5,1,1,3,1
"FT0044",69.0456251427099,69.0452438834714,69.0457887982035,116.313562794669,111.83737657229,118.864134872646,8,2,3,3,1
"FT0045",69.045558734945,69.0453225550035,69.0456478749961,72.160525478367,71.9122188394192,74.0294321376766,5,1,0,4,1
"FT0046",69.0455783005923,69.0455430295213,69.0457486572965,39.01553377506,38.7358362813725,43.7607301136263,5,0,1,4,1
"FT0047",69.0454312810043,69.0452133232572,69.0456451671828,103.466750282838,99.8396901503966,107.358540540228,7,0,0,4,1
"FT0048",69.5637168380831,69.563580226438,69.5641002310692,190.048279122586,189.183761914287,190.532759866748,5,1,1,3,1
"FT0049",69.9946432867731,69.9943760980018,69.9947489449777,202.020341257278,201.203036932383,205.483800627533,12,3,3,4,1
"FT0050",70.0483127924998,70.0477315018453,70.0484721337444,114.306282829165,110.351028451381,119.092418259459,17,1,3,4,1
"FT0051",70.0481190911473,70.0478939838076,70.0483059177141,106.210860194495,102.350717549596,109.596356843782,14,2,2,4,1
"FT0052",70.0482093936628,70.0479446800829,70.0483630339249,77.2451775700517,74.4584234638195,81.4266460923437,14,1,2,4,1
"FT0053",70.0482567105386,70.0479651262756,70.0483843893796,56.9208150907515,53.2383951318775,60.2304333883698,15,2,2,4,1
"FT0054",70.0482706498558,70.0480723604553,70.0483040926276,71.9433244940848,70.1565233648296,72.4418036705164,7,2,1,4,1
"FT0055",70.0482468813956,70.0479356460123,70.0483702322863,48.3599260630881,43.7607301136263,51.4765606962917,12,2,3,2,1
"FT0056",70.0482598219475,70.0481122496173,70.04837605413,39.3643033921934,38.1663761782874,41.8190608072244,8,2,1,4,1
