"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","CTR","CVD","QC","ms_level"
"FT0057",70.0482757963179,70.0481892712355,70.0484787671744,88.4837052492605,84.3176735832589,95.0009239022481,16,2,0,4,1
"FT0058",70.0482265866353,70.0479477505162,70.0484597057232,99.1344935703911,96.8297102237485,100.397690626128,6,0,2,3,1
"FT0059",70.0657405057777,70.0656162483145,70.0659025798969,193.991040885491,193.692753094738,194.406094093088,10,3,3,4,1
"FT0060",70.4954921052434,70.4949974230659,70.4957069030673,201.564005341107,201.203036932383,202.706957925838,6,2,0,4,1
"FT0061",70.9921370043444,70.9918667838418,70.9925379945501,201.896879678363,201.203036932383,202.589739347368,10,3,3,4,1
"FT0062",71.0609541928946,71.0606976535754,71.0611729273693,23.0086085938148,22.8423792407187,23.95647937091,4,1,3,0,1
"FT0063",71.0607726297567,71.0606708918475,71.0610624562625,10.2941986867902,10.1041297661036,11.0461556055606,4,1,3,0,1
"FT0064",71.9910510469026,71.9906328067121,71.9912650515232,201.54446065188,200.962094683099,202.430328218683,6,2,0,4,1
"FT0065",72.0692645450598,72.0689474675872,72.069472769962,186.598827606534,186.238977440769,186.936334122732,8,2,2,4,1
"FT0066",72.0814823932918,72.0810568827194,72.0818867472528,163.793085134702,163.414801404057,164.152201725624,10,3,3,4,1
"FT0067",72.0814468977748,72.0809190086119,72.0817459914287,152.023911766197,151.641266449101,152.578795035929,9,3,2,4,1
"FT0068",72.991383778898,72.9913540713134,72.9916099746393,206.296107404819,206.160099310765,210.459454697261,6,1,1,4,1
"FT0069",73.0652572260117,73.0650647911841,73.0657470871155,30.1323294695935,29.8309263827795,30.3822223445105,8,3,2,3,1
"FT0070",73.3038300041635,73.3030521812422,73.3040185211131,203.453832640473,202.991255492223,203.982449127524,9,3,3,3,1
"FT0071",73.5327781730005,73.5326148019943,73.5328891572659,203.312846109983,202.565364995393,204.09012102076,10,3,3,4,1
"FT0072",73.9898344907255,73.9895962516185,73.9898829223698,206.278025947732,206.160099310765,208.516995968466,5,1,0,4,1
"FT0073",74.0336176357027,74.0333966304688,74.0336996711777,203.434758139193,202.881517678402,204.09012102076,10,3,3,4,1
"FT0074",74.0605667178428,74.0602530704873,74.0610377417758,170.544646382856,170.176335615564,170.886080818135,10,3,3,4,1
"FT0075",74.0969322707763,74.0967468903742,74.0971576343484,159.485995960053,159.02328929559,159.706478932439,8,3,3,2,1
"FT0076",74.5318006215117,74.5314714273883,74.5319017503958,203.234295090479,202.565364995393,203.813478621237,10,3,3,4,1
"FT0077",74.9313489797365,74.9312426397286,74.9315861606262,212.432592024249,211.138383175858,213.496532986157,7,3,2,2,1
"FT0078",74.989312783641,74.9891425177908,74.9893599868127,206.236345457096,205.998221255441,208.793656155701,5,1,0,4,1
"FT0079",75.0326963317572,75.0323889494125,75.033014735009,203.129136909047,202.565364995393,204.366773014143,10,3,3,4,1
"FT0080",76.0398560407875,76.0395616960798,76.0401686759966,168.792869951843,168.541503558352,169.226741120776,10,3,3,4,1
"FT0081",77.0917822715921,77.091027513332,77.0920898389351,163.574182034306,163.414801404057,164.256491830209,9,3,2,4,1
"FT0082",77.0915761598282,77.0912242831262,77.0920601277778,152.153727968038,151.641266449101,152.578795035929,8,2,2,4,1
"FT0083",77.9941442831122,77.9939336164053,77.9946789429296,203.466962696336,202.841813733082,204.643436953183,9,3,3,3,1
"FT0084",78.0675594802348,78.0672492429764,78.0676308990774,170.459741718576,170.176335615564,170.886080818135,10,3,3,4,1
"FT0085",79.0435701535478,79.0430962529165,79.0437903503248,168.778631487693,168.498863648612,169.226741120776,10,3,3,4,1
"FT0086",80.0498405704592,80.0496023609065,80.0499992937062,33.7826765842644,33.4521973981557,34.3018817658085,10,3,3,4,1
"FT0087",80.0499086850749,80.0498102014546,80.0499998890387,159.281522283311,158.849872827566,159.563754054886,5,3,2,0,1
"FT0088",80.9408427600859,80.9404624658406,80.9412097844428,210.542978897919,206.713357521578,211.006851543551,10,3,3,4,1
"FT0089",80.9481707999898,80.9480016069165,80.9483176113765,157.631458679907,156.536146384086,157.886138464158,9,3,2,4,1
"FT0090",80.9481611157591,80.948029567009,80.9483470841102,148.706253427916,148.312804076648,149.156338121569,8,2,2,4,1
"FT0091",81.0528831516752,81.052771416333,81.053414272896,34.1008230698579,33.4521973981557,34.2808979518526,6,0,2,4,1
"FT0092",81.2666919738939,81.2662869361219,81.2670045346322,212.656979952279,211.98240899643,212.960661686346,6,3,3,0,1
"FT0093",81.266687186328,81.2665972969701,81.2668164390989,207.965925955948,207.913541083959,208.096369467174,4,0,0,4,1
"FT0094",81.5212630197954,81.5210274430803,81.5215958569502,222.356425904541,219.179345601342,226.694840948286,26,3,3,4,1
"FT0095",81.5212508177581,81.5210164406006,81.5215302638795,235.968936869502,231.448536712203,239.231654784233,24,3,3,4,1
"FT0096",81.5213777285861,81.5208143853964,81.5214468098325,229.492938375982,227.828481035563,231.082472495425,9,3,2,2,1
"FT0097",81.5213559846894,81.5211209059965,81.5214415411003,212.437361863386,212.137396603491,212.960661686346,6,3,3,0,1
"FT0098",81.5214354709055,81.5211292671228,81.521499558469,207.956751877108,207.277471868045,208.251941574437,5,0,1,4,1
"FT0099",82.014037075336,82.0138745189741,82.0144501309235,203.180718319761,202.841813733082,203.982449127524,10,3,3,4,1
"FT0100",82.0226751105234,82.0225165320859,82.0227686598877,212.07465918899,207.819781896382,212.960661686346,10,3,3,4,1
"FT0101",82.5199537833129,82.5196032643932,82.5201376374713,207.6982649099,207.266584751369,208.193071242727,3,0,0,3,1
"FT0102",82.5378030927626,82.5372663324668,82.5380245385507,203.320572481236,202.841813733082,204.09012102076,10,3,3,4,1
"FT0103",82.9449792816627,82.9448233198054,82.9452986236226,157.826075031228,156.909881278799,157.907501248626,8,2,2,4,1
"FT0104",82.9972321178992,82.9970721819127,82.9974381720806,202.363074185001,202.081252721119,205.718411508749,4,0,0,3,1
"FT0105",83.060701332197,83.0599881546712,83.060900080589,34.5593905672688,33.7457069323005,39.409423077934,11,2,2,4,1
"FT0106",83.0608239950347,83.0606981845611,83.0609990896358,76.2515078099957,72.0742887857729,80.5615809517785,8,0,0,3,1
"FT0107",83.0607252269334,83.0606362648394,83.0609303774666,56.0500228737679,51.0334498502654,60.2304333883698,6,1,0,4,1
"FT0108",83.5176852076224,83.5175094230736,83.5178177190135,212.136990586641,207.819781896382,212.960661686346,10,3,3,4,1
"FT0109",83.9973834954485,83.997122150958,83.9975741545788,201.896879678363,201.052483187972,202.430328218683,10,3,3,4,1
"FT0110",84.044615613965,84.0443134732424,84.0450049920624,177.413797955833,176.845761868972,177.794867114228,10,3,3,4,1
"FT0111",84.0811176267581,84.0808642439288,84.0812171856559,191.22435915769,191.140344222812,191.639398932909,10,3,3,4,1
"FT0112",84.9601056377899,84.9598555212441,84.9604845427573,235.512182856328,230.688602169909,238.720748410965,17,2,3,4,1
"FT0113",84.9600513748089,84.9598461205369,84.9606627184803,224.26932416778,219.579754873723,228.314273160214,16,1,3,4,1
"FT0114",84.9601163102606,84.9597767728356,84.9602235789097,212.214484390171,208.096369467174,212.943283896424,10,3,3,4,1
"FT0115",84.9950486856523,84.9947155606324,84.9955496636604,202.018485930577,201.203036932383,202.589739347368,9,3,2,4,1
"FT0116",85.0287501080729,85.0282860092249,85.0293018729509,168.498863648612,168.150132532778,168.673931175372,10,3,3,4,1
"FT0117",85.9410373154553,85.9408448190702,85.9412632826647,201.896879678363,200.962094683099,202.310524667135,10,3,3,4,1
"FT0118",86.0967329647446,86.096418276781,86.0968906620396,150.738102160142,144.194837436572,153.596440253531,17,3,2,4,1
"FT0119",87.0556584258859,87.0552919434247,87.0557703514638,181.666818351285,181.417424089024,181.921997228765,6,2,0,4,1
"FT0120",87.9362819987371,87.936044237621,87.9365189774198,201.759968888177,201.052483187972,202.310524667135,10,3,3,4,1
"FT0121",88.039690737031,88.0392993304526,88.0399846108653,179.204900192697,178.782618896623,179.414170766313,7,1,2,4,1
"FT0122",88.509517657724,88.5092705852021,88.5097940882933,205.33018021038,202.04175162494,208.207555211024,7,1,0,3,1
"FT0123",89.0089049819665,89.0086075487247,89.0091580806671,210.5290032019,206.795413534263,211.006851543551,10,3,3,4,1
"FT0124",89.0550708907332,89.0548081257346,89.0553891907771,171.294788936003,171.015362559423,171.456934208486,10,3,3,4,1
"FT0125",89.5072282478324,89.5069411799561,89.5076243597932,236.014930100177,231.392785471734,238.515644273879,19,3,3,4,1
"FT0126",89.5073013704744,89.5069592673553,89.5074636787881,227.828481035563,224.160650463934,231.082472495425,13,2,3,2,1
"FT0127",89.5074011154433,89.5069564831864,89.5076904450549,207.912318150413,205.33018021038,210.667658478792,8,1,3,1,1
"FT0128",90.0552378446039,90.0550295009411,90.0554895732638,167.660473827499,167.319475339592,167.845052982463,10,3,3,4,1
"FT0129",90.0948110929075,90.0943706383319,90.0951670483684,191.295416684523,191.140344222812,191.639398932909,10,3,3,4,1
"FT0130",90.5074794050988,90.5073368278026,90.5077274749796,201.896879678363,201.203036932383,202.589739347368,10,3,3,4,1
"FT0131",90.5264176471208,90.5259023016097,90.5265385919793,212.895777058015,211.857746201128,213.219909345245,5,2,3,0,1
"FT0132",90.52634432481,90.5260921737127,90.5265120004604,207.913541083959,207.676976041954,207.975100034788,3,0,0,3,1
"FT0133",90.9768394932364,90.9762977884354,90.9771172069256,165.935915307533,165.146323188882,166.26406775171,9,3,3,3,1
"FT0134",90.9767972114654,90.9763952513176,90.9771111662991,154.513375758179,153.7738726975,154.595063141859,7,3,2,2,1
"FT0135",91.0140034531849,91.0090322351229,91.0141230674167,203.446164217833,201.052483187972,204.366773014143,10,3,3,4,1
"FT0136",91.5051798802539,91.5050548104869,91.505322750904,202.018485930577,201.203036932383,205.206953441225,11,3,3,4,1
"FT0137",92.0061725429335,92.0057850577835,92.0065742283902,201.625173525528,201.203036932383,202.153693994615,10,3,3,4,1
"FT0138",92.0150248773506,92.0145838587021,92.0152374960244,203.545268102405,202.841813733082,204.643436953183,9,3,2,4,1
"FT0139",92.1103797497919,92.1101083105826,92.1105090033964,152.024330520176,148.936923876223,153.215209994699,9,2,0,4,1
"FT0140",92.5038790289219,92.5036938861007,92.5042467318044,202.020341257278,201.052483187972,202.589739347368,10,3,3,4,1
"FT0141",93.0116444474648,93.0111413450175,93.0119489730607,203.320601455543,202.565364995393,204.260993658649,10,3,3,4,1
"FT0142",93.5042770780923,93.5034218247414,93.5045356841095,208.128603392358,201.459369460476,210.459454697261,13,3,2,4,1
"FT0143",94.005440580528,94.0053528986931,94.0055433522656,205.998221255441,205.956810304547,206.037394238603,3,0,0,3,1
"FT0144",94.0456569483686,94.045431682678,94.0457774529121,203.434758139193,203.118254131087,204.09012102076,10,3,3,4,1
"FT0145",94.0652126381003,94.0650812856981,94.0655242718908,33.7886220904328,31.547755346633,34.4633979139619,8,3,2,3,1
"FT0146",94.5027356914872,94.5024843746427,94.5029237179813,207.268114020613,206.160099310765,208.793656155701,8,2,2,4,1
"FT0147",94.5462823120741,94.5461449735571,94.5466096225062,203.19379042701,202.848916804663,204.366773014143,10,3,3,4,1
"FT0148",95.0035853598959,95.0030330418392,95.0037111309681,206.278025947732,206.160099310765,208.516995968466,5,1,0,4,1
"FT0149",95.0445030082086,95.0442678451991,95.0447059855144,203.305177687343,202.841813733082,203.813478621237,10,3,3,4,1
"FT0150",95.5021313041254,95.5017063062748,95.5023497609172,206.314188861905,206.236345457096,208.793656155701,5,2,0,3,1
"FT0151",96.0115394848471,96.0110939479481,96.0121473599959,203.268263700323,202.881517678402,204.366773014143,9,2,3,4,1
"FT0152",96.9217513932412,96.9214660246952,96.9220828037801,148.108599849467,147.000381006694,148.323796358784,10,3,3,4,1
"FT0153",97.0285285607346,97.0281371398946,97.0288240717715,168.453704036234,168.150132532778,168.602070719841,10,3,3,4,1
"FT0154",97.9536120305831,97.9528690569515,97.9544225302347,201.405994094895,200.962094683099,202.430328218683,6,2,0,4,1
"FT0155",98.0577302560536,98.0574690710692,98.0578820651798,71.434883872496,71.0711007975872,71.6644222769861,4,0,0,4,1
"FT0156",98.9188934871003,98.9185568712781,98.9193162105564,148.108599849467,147.000381006694,148.323796358784,10,3,3,4,1
"FT0157",98.9612570226489,98.9610798769163,98.9615284001723,201.896879678363,201.182791133877,202.310524667135,10,3,3,4,1
"FT0158",98.9839962506133,98.9837052558394,98.9843794759028,35.79112782445,34.9752455314349,36.4431518503945,8,3,1,4,1
"FT0159",98.984253805318,98.9839713161654,98.9844860830613,182.72096644618,179.409722309488,183.320137539772,8,3,1,4,1
"FT0160",99.9687897533816,99.9684256165475,99.969316550036,201.394378462512,201.203036932383,202.153693994615,6,2,0,4,1
"FT0161",99.9792719786266,99.9788869240566,99.9802983029694,203.902356581324,203.125734344407,204.920115189675,10,3,3,4,1
"FT0162",100.075642130336,100.075616846406,100.075763965963,76.629280714179,74.1745822866323,78.0502415986486,4,0,0,4,1
"FT0163",100.956571250283,100.956303760883,100.956829191681,202.020341257278,201.052483187972,202.310524667135,10,3,3,4,1
"FT0164",101.071170941895,101.070901209597,101.071671120764,23.1231944618253,19.9290204059395,23.95647937091,7,2,3,2,1
"FT0165",101.071346113425,101.07096783645,101.071392947965,11.1650172783108,10.0782911274915,15.0700251339076,7,3,1,3,1
"FT0166",101.522050229934,101.521798953613,101.522468669634,209.275006534675,208.661222794345,209.340771085743,5,2,3,0,1
"FT0167",101.963681361371,101.962741294484,101.96396105912,201.241897227141,201.182791133877,202.153693994615,5,1,0,4,1
"FT0168",101.976691404413,101.976630483043,101.977322758038,204.546232963468,204.09012102076,205.42497512325,4,3,1,0,1
"FT0169",102.034132475746,102.03395448246,102.034253889818,212.656979952279,212.014070716057,213.240241900197,6,3,3,0,1
"FT0170",102.034273292258,102.034082656189,102.034445182881,207.897440965585,207.676976041954,208.472600731968,4,0,0,4,1
"FT0171",102.054849713234,102.054472212017,102.055114428029,170.544646382856,170.176335615564,170.886080818135,10,3,3,4,1
"FT0172",102.091266332416,102.090939768778,102.09216163236,30.1894324007722,30.1094768141976,30.3996390229111,5,1,1,3,1
"FT0173",102.091174395041,102.091119078875,102.091397095984,10.612565893455,10.4841539911025,10.8154432916594,3,0,3,0,1
"FT0174",102.127662453816,102.126409594867,102.128039838692,32.3776006233346,32.0593750065932,32.753884949982,10,3,3,4,1
"FT0175",102.12746140809,102.127223734339,102.12810397882,159.355208921639,158.849872827566,159.563754054886,6,3,3,0,1
"FT0176",102.535629471967,102.53544437978,102.535714023884,212.454421084605,211.857746201128,212.960661686346,6,3,3,0,1
"FT0177",102.535889015354,102.535476742998,102.536158668887,207.805902996929,207.39719557219,208.372949852863,4,0,0,4,1
"FT0178",103.054149015877,103.053409698962,103.054542809799,152.029953800932,151.466080244199,152.669747250189,9,3,2,4,1
"FT0179",104.106972603424,104.106677395316,104.107252577346,61.8262899585766,57.6884251100881,65.7384986844368,12,3,3,4,1
"FT0180",104.106873282756,104.106648520322,104.107066103882,34.5806152468161,33.5610064856041,37.9417074980835,9,2,3,3,1
"FT0181",104.106993877068,104.106739668249,104.107187183075,41.935728595351,39.0321337150497,48.5090078569973,11,3,2,1,1
"FT0182",105.069763443531,105.069477691753,105.070015715448,30.3967362431777,30.1665912283007,30.6606860647485,8,3,3,2,1
"FT0183",105.47326322996,105.472824278867,105.473481288502,211.796081974543,207.543187028457,212.943283896424,10,3,3,4,1
"FT0184",105.96260723499,105.962079688328,105.962720700671,205.998221255441,205.956810304547,206.314188861905,3,0,0,3,1
"FT0185",106.049916023305,106.049728141539,106.050181972405,179.127788508613,178.782618896623,179.466873432845,10,3,3,4,1
"FT0186",107.052818334059,107.052314021823,107.053274922904,179.196415946528,178.782618896623,179.466873432845,10,3,3,4,1
"FT0187",107.065374787146,107.064998259578,107.065548931025,170.544646382856,170.176335615564,170.886080818135,10,3,3,4,1
"FT0188",108.080280948808,108.07996585034,108.08076407251,34.202244868308,33.4521973981557,34.3018817658085,6,1,1,4,1
"FT0189",108.080581773421,108.080418255813,108.080743059881,159.281522283311,158.849872827566,159.428678550886,5,1,3,1,1
"FT0190",109.054745716255,109.053872838436,109.055895265491,179.363226272379,178.850162728566,179.466503614865,6,1,2,3,1
"FT0191",109.063259780931,109.063117078313,109.063689602143,159.91934255369,159.801656882283,160.66822121533,6,2,0,4,1
"FT0192",109.076285489659,109.076170886507,109.076606085906,34.2259934654594,33.2325507147437,34.5593905672688,5,0,2,3,1
"FT0193",109.083336165336,109.08312236133,109.083735452898,12.2334756370376,10.3307915858829,17.0208544013834,9,2,3,4,1
"FT0194",109.083483073997,109.083214755942,109.083844292847,22.9666183816717,21.1132763545532,23.6982257929826,6,3,1,2,1
"FT0195",109.10102209597,109.100538290347,109.101468637647,29.5579123880312,29.2704543860605,31.454963085765,11,3,3,4,1
"FT0196",109.521958409468,109.521599247236,109.522257318637,210.459454697261,206.713357521578,211.006851543551,9,3,2,4,1
"FT0197",110.008784347047,110.008587640803,110.009306608035,203.367613198329,202.881517678402,204.09012102076,10,3,3,4,1
"FT0198",110.02000079685,110.019473590417,110.020393746473,201.19291403313,200.962094683099,201.600402588556,6,2,0,4,1
"FT0199",110.0200134166,110.019868846169,110.020212592544,196.730637487288,193.305915524716,197.04356512016,5,0,0,4,1
"FT0200",110.018505339242,110.01798679227,110.018757054808,206.017807747022,205.956810304547,208.160837317543,4,0,1,3,1
"FT0201",110.056963119183,110.056800347449,110.057216622732,179.123468305864,178.782618896623,179.204900192697,10,3,3,4,1
"FT0202",110.071058922578,110.070847249205,110.071374959258,191.446471181921,191.158467223167,191.916062161183,10,3,3,4,1
"FT0203",110.510332125407,110.509766778208,110.512059643311,203.466962696336,203.402553582051,203.733482746853,5,2,3,0,1
"FT0204",111.010367356544,111.009981213137,111.010676063506,203.679373361821,203.44070258461,204.013132154041,9,2,3,4,1
"FT0205",111.02034364956,111.020071677128,111.020477779475,201.759968888177,201.052483187972,202.153693994615,10,3,3,4,1
"FT0206",111.07408844898,111.073346759574,111.07466905806,191.4381786702,191.140344222812,192.192726779544,9,3,2,4,1
"FT0207",111.080940160574,111.080411009178,111.081421852014,152.196055664359,151.446922773186,152.486249662425,9,3,2,4,1
"FT0208",111.091337623116,111.090903183546,111.091841244073,33.7826765842644,33.2325507147437,34.4633979139619,10,3,3,4,1
"FT0209",111.116708660694,111.116123933543,111.116802008078,31.5809499443374,31.50225165151,31.8990812354817,9,2,3,4,1
"FT0210",111.521905600677,111.521607400764,111.522017664807,201.896879678363,201.203036932383,202.310524667135,10,3,3,4,1
"FT0211",111.986823219123,111.986382950182,111.986944451689,202.841813733082,202.640794268916,203.813478621237,5,1,0,4,1
"FT0212",112.006728365708,112.006356305929,112.00739610671,203.573168029078,202.991255492223,204.09012102076,10,3,3,4,1
"FT0213",112.018015382093,112.016423183965,112.018402311804,201.741686740178,200.962094683099,207.57346143387,11,3,3,4,1
"FT0214",112.519055258349,112.518673735925,112.519383141777,201.896879678363,200.962094683099,202.589739347368,10,3,3,4,1
"FT0215",112.895489255059,112.895374707225,112.895724155204,146.182156062913,145.046653732554,146.541864192887,10,3,3,4,1
"FT0216",112.966359906908,112.965523314833,112.966788178711,210.5290032019,206.713357521578,211.006851543551,10,3,3,4,1
"FT0217",113.016973240042,113.016262943413,113.017499124179,202.020341257278,201.052483187972,202.310524667135,10,3,3,4,1
"FT0218",113.059643716085,113.059157094198,113.059933256644,26.9060317958818,26.7450228829021,29.0201819152832,10,3,3,3,1
"FT0219",113.070746310313,113.070390090944,113.07091448571,180.275271805488,179.96455445592,180.427735311126,6,2,0,4,1
"FT0220",113.095531889458,113.095254784821,113.096410519586,29.8497470616056,29.5523758308573,30.1494837743867,8,3,3,2,1
"FT0221",113.707938913873,113.707687961925,113.708088788218,82.947163679741,80.3014434416422,83.5328601715217,4,1,0,3,1
"FT0222",113.946849365794,113.946532034418,113.947134968795,201.826163163994,200.962094683099,202.310524667135,10,3,3,4,1
"FT0223",113.963648415176,113.963375186486,113.9638264387,202.437246311349,202.081252721119,207.942348279392,5,0,1,3,1
"FT0224",113.963383206545,113.963239046499,113.963799990306,169.338306277865,169.240651458471,169.358366427341,3,0,0,3,1
"FT0225",114.017435405575,114.016934328726,114.017869508185,206.257185702414,201.329387464548,208.516995968466,6,1,0,4,1
"FT0226",114.066058720714,114.065660990232,114.066179156978,136.667741073804,135.835927071256,137.483865470436,10,3,3,4,1
"FT0227",114.06608627909,114.065727480643,114.066292998351,79.7435026583295,74.1644173282708,83.2532556472725,11,3,3,4,1
"FT0228",114.072886753742,114.072560303147,114.07343129388,26.2098734513927,26.1936391867608,26.2142916010138,5,2,3,0,1
"FT0229",114.091242155364,114.090690832902,114.09151934887,33.7786182449562,33.2781466922086,36.7203517274821,10,3,3,4,1
