"","MS_QC_POOL_1_POS.mzML","MS_A_POS.mzML","MS_B_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_4_POS.mzML"
"FT0022",713.130515399163,460.146765734267,834.016520979018,629.205807692307,1831.29077975922,413.779762237757,778.729972027971,607.018479020981,601.267762237761,642.404003496509
"FT0023",2776.78034265734,2230.37282517482,894.053223776222,883.491870629372,2349.96693196094,699.634447552447,3099.79015384615,1253.08947902098,629.028912587413,1015.5226048951
"FT0024",36456.8713775392,20824.6695128804,19144.4802062937,37371.3458871132,21360.4832307692,20219.0051328672,35026.1193211862,19390.851513986,21853.4433881118,33097.8343741823
"FT0025",63784.4392342657,22617.1194280731,20125.9159745916,65370.6127657343,22889.1250455998,21722.0521236325,64913.5093111888,20532.9315811527,24075.0743244502,66167.9255034965
"FT0026",84875.6484440559,49045.4176531792,104315.373605073,82800.8107115291,74778.696,39525.7553811189,77761.8004195804,104026.477038462,24876.3849208326,77588.0341468532
"FT0027",2944.41674475524,249.029642816391,2204.41524606977,4449.34827272729,438.681918399261,3024.51734435607,5581.88243706293,7465.32959308199,231.538024654682,8428.25376923077
"FT0028",1700.78074821402,1204.02006341872,1003.99710839161,1068.48220872692,1120.87176923077,1115.07195104895,1172.63205891405,1024.61319230769,1193.12951748251,1216.11773548762
"FT0029",1352.23268181819,2.31023779878731,NA,1520.07296853148,NA,NA,1871.70889510488,NA,NA,1926.4667097902
"FT0030",474.293496503497,770.055283216783,548.918788422628,420.749254630557,662.36095804196,557.638840247806,553.322848479559,573.266607284031,626.766346153845,268.177206293707
"FT0031",510.181350795732,503.746710540111,469.010706293705,562.067552715073,504.345503496505,518.449636363636,506.178679119918,372.955717877361,557.995447552446,704.562525561098
"FT0032",633.943604895109,NA,NA,413.654569930071,NA,NA,706.775611888108,NA,NA,575.953552447551
"FT0033",759.644160839159,479.203961538463,555.692884615385,707.886734265733,450.863999999994,567.893769230771,690.380947552447,558.954713286714,502.64028671328,632.516412587411
"FT0034",2614.14935664336,780.536961463323,696.661374125873,2633.44035314685,831.914590909092,803.387003496501,983.808954545451,696.801199300697,837.510199300699,1204.49567832167
"FT0035",2318.01394405595,3337.98916783217,2619.30812075025,2678.46048251748,3292.77198251748,4175.45156643356,3115.43128389376,3342.0223111888,3141.69023076923,2870.40695454546
"FT0036",370.816038461538,329.757513986013,430.177632794945,422.02261888112,550.109706749672,779.354958041955,487.325717444227,520.011125874125,497.506137391096,508.080461538464
"FT0037",311.878101398602,459.481783216783,269.032557222249,381.648262237763,482.396527972028,550.846804195804,512.196858901482,466.501006993007,290.812625874125,211.204951048953
"FT0038",1765.13674825175,2268.95857097614,3328.23619930071,1264.59936713286,2253.30740559441,1913.92504195804,1236.89967482517,2186.14644755245,1549.83004195805,1430.69866783218
"FT0039",252.430615384612,104.693654279033,440.109628949872,410.925377622379,54.884917176413,34.2592638642093,254.312402097902,573.787237762238,118.086048600583,336.152076923076
"FT0040",5038.21484265734,5590.46640209789,5573.6278741258,5372.72186013984,9995.827609164,6810.84947202801,5075.63888811189,5796.31312237761,6152.46247552453,4994.12211188804
"FT0041",13135.4383536379,5567.06942307689,7104.26894465822,5447.49255944056,3966.10824125875,5009.48629720284,9243.05801164141,10067.2754322982,6015.17886713285,12704.8285157208
"FT0042",10294.8831083916,5527.65855944058,2492.60934520018,8776.97808041956,2777.34387062937,6581.00127272725,1657.61139289636,10059.6606124889,5420.06406293708,12742.3784422582
"FT0043",498.674129370629,306.028531468532,178.531151286065,410.587846153845,480.61391958042,287.945735009739,428.210695804195,298.166450155385,83.0926184958699,589.395895488675
"FT0044",625978.84889334,1038416.10305245,1015446.09328142,1258793.33686989,2421404.73451379,2020755.34104932,726437.796944184,1466181.97590221,1408268.15070815,590631.651553837
"FT0045",398410.676538461,1905275.09393567,1945828.7703986,1425173.24948439,1856019.73894273,1809377.03203738,1947057.76661713,2020150.33381243,1778029.37030405,1903286.23997776
"FT0046",133410.082951049,131251.158327822,155047.754369497,170868.495482517,177681.484050359,212669.072579158,178055.254856643,164589.194165136,1286029.64645543,192281.868073427
"FT0047",799535.020308367,406125.309055062,387705.79845195,856252.205736568,445797.186532364,328337.444281412,81059.0900559439,398042.773493923,320327.374166766,190187.265493006
"FT0048",332.253881118883,NA,316.491356643352,117.080148226517,160.461380062398,152.289490493056,409.054972027973,63.8287951004657,605.864108391611,391.221083916087
"FT0049",6155.29442307691,3108.20535314685,5700.13330090167,4145.96471328671,3149.55653496505,1838.63861538462,4810.62285475172,4244.5769055944,1986.95377972028,5308.49569890017
"FT0050",5637.33612587412,29589.5648181818,23284.6469930843,20343.1968776223,39115.1962321032,36406.1787500717,5891.29961538462,9314.18087412588,26251.1171538461,7040.35363636362
"FT0051",19262.7010909091,5279.56057342656,11353.5269768779,13721.0795583011,6477.89874125876,9506.26285334074,29953.5616153846,11599.6961958042,5050.71553846154,8364.69737412588
"FT0052",19567.7287342657,6307.03750301176,6321.23671917424,5040.5538251748,5954.55379958308,7415.90011934032,5630.01253846154,3698.87794405595,5271.16033216783,4581.10781118882
"FT0053",20203.1931818182,13867.8107622378,18235.7124965035,39506.4667289406,16807.4935225235,27564.5025285757,7892.83586013985,22435.864993007,20124.2452867133,5827.13937062938
"FT0054",22266.9659370629,9107.91988111887,21241.8051503496,14901.8124020979,8335.24609395744,6438.93980803024,25186.9825384615,10278.9882377622,8493.93579173739,12302.1043846154
"FT0055",14567.6735821018,17769.8514335664,29549.8097188317,14554.0753216783,15426.1026460095,24309.0387755385,15169.1890999337,12984.6151258741,5704.03078321679,14177.0360105941
"FT0056",3063.51365034964,5836.68085672649,11536.5459440559,7743.1852027972,6311.45581212617,7032.05907692308,6910.90609090908,4361.47693006993,9031.46285819505,9227.63266783217
"FT0057",7881.00404895106,6063.08231624115,3801.28785314685,7634.54949650348,11920.3943113018,6607.75287408114,29322.5795736176,13752.0954539952,6963.52601765541,6663.39472027972
"FT0058",24791.2203394644,5288.80871672005,6076.64830944928,29616.0402272727,9461.66590716605,6911.66179720279,5278.15646853145,7094.71410436835,5697.14181781105,22811.9797552447
"FT0059",1544.63374825174,1090.57523076923,1592.35315384616,1665.41961188811,2375.79198251749,1494.75300912184,1728.41215384615,2170.26308684794,1758.94379370628,1638.60244405594
"FT0060",324.651293706293,158.450851350371,332.379926070522,187.007391608392,80.7037031320031,39.3439751291454,240.065842657343,193.92386013986,99.8859243651638,204.978503496503
"FT0061",2297.33607692308,1108.4126958042,2312.48801752641,1592.67475174825,1178.03522727273,598.808465034968,1762.94514421497,1523.02165384616,736.638041958045,1776.55726462948
"FT0062",910.737067224532,430.347772836031,735.54369282429,645.090132515321,769.100295596303,827.380678321678,784.779852671123,634.776052447552,839.006979020978,865.116993220085
"FT0063",1007.19219885346,171.445174825175,2525.38868569941,795.455209690186,880.780863471769,502.704020979021,852.503206691362,968.46002278115,204.987933566434,947.509462009378
"FT0064",331.10211188811,145.328741876739,285.763719004541,191.113374125874,132.064797914404,70.0830331971035,187.973486013986,186.291356643357,87.7555744251924,231.608045454545
"FT0065",242.661713286715,271.382129370628,237.569475524474,256.92940909091,198.188853146853,318.252503496503,265.274045454545,179.498435075404,137.034173641561,247.56534965035
"FT0066",2607.52131818182,1474.24412937064,1679.32994055946,2309.49143706294,858.744115384616,1222.29802447552,2495.56650351276,2612.8067097902,1128.50167132867,2488.44457342656
"FT0067",1642.89084965035,1783.37938111889,1960.40162937063,1588.38894755245,1522.41227622378,1663.4831958042,1689.7143986014,2331.2748986014,159.730433000008,1618.33527272727
"FT0068",2508.53062237764,87.4743097118658,1604.901,899.207895104898,152.942071469685,345.802618974795,1402.0123951049,923.463493430509,165.429765734264,1348.06003846153
"FT0069",906.26483916084,NA,1081.27002797203,486.209417709255,2685.50279370629,1235.41882867133,751.303101398601,867.949164335664,3212.85409090909,796.234458041958
"FT0070",535.138909090909,384.95463986014,237.420838183917,522.644066433567,757.174132867131,744.589867132867,427.780654497784,739.364632867131,779.848898601397,548.10427972028
"FT0071",43034.5946538461,59020.8481888113,47121.1730706295,45045.5918601398,58286.4405209789,57924.5645139859,44528.4691749427,56613.4921363636,56196.0258671329,43407.3747482518
"FT0072",1510.08717482518,34.0727750441954,637.378426573423,559.59725874126,NA,32.7259693006385,760.518881118879,107.314327807291,82.5930385071014,870.677381118876
"FT0073",10068.6937762238,14261.4183041958,11317.7432525011,10370.8114300699,13727.2198006993,13878.0618986014,10783.7724624847,13692.1324615384,13249.2280909091,10161.8944090909
"FT0074",1918.3044965035,2232.49068881119,2220.54539160839,2186.71745454546,2481.09724825176,2104.55293006993,2079.0536958042,2437.58918181818,1990.42111888112,2219.38321678322
"FT0075",1234.26095249022,1744.32848601399,1764.38461888112,1358.68317482518,1606.05501210586,1683.79654195803,879.837394067575,1570.94811138626,1035.2255979021,1249.99613364296
"FT0076",7580.88817132867,10573.0357027972,8154.29835771908,7901.17204195805,10240.2378041958,10451.366013986,7882.79114568925,10333.3577937063,9742.97460839162,7698.2336853147
"FT0077",290.895386532055,505.274053471676,306.93967132867,151.357500000001,628.361653846155,353.673146853145,207.861113760801,483.354818181817,514.110281811663,149.972905594406
"FT0078",991.550066433569,9.37484324078354,600.465555944056,310.415139860142,NA,19.9854919512485,481.963395104894,125.773409868738,17.4376133886885,488.445430069928
"FT0079",572.678716783216,847.147405594405,627.055981101879,605.131489510489,807.797349650351,844.172381118881,607.93615192138,788.969076923075,517.769370629369,570.952038461538
"FT0080",1108.81851398601,1014.55781118881,1306.05785664337,1040.66707342657,1724.35397202797,1324.50079720281,911.987590909099,1759.82371678321,742.770188811188,980.392667832173
"FT0081",770.017237762245,319.786027972024,452.818625874126,666.293947552452,178.689094405592,268.228930589178,671.079685436046,453.19843006993,325.744856643359,680.03811188811
"FT0082",461.302437062938,504.527601398599,362.401340231507,479.251437062938,385.670674825177,440.07957692308,471.006304195805,395.139765734265,NA,525.854517482518
"FT0083",1568.76009440559,2286.11722027972,1675.66064101299,1712.92862937063,2142.73430769231,2164.10284615384,779.509384447276,2081.11465384615,2156.05086713287,1572.71812237762
"FT0084",1031.94393356644,1335.07580769231,1133.62707692307,1227.59154545455,1390.63940559441,1445.85701748252,1133.22906293706,1165.56087062938,1689.69716433567,1107.25019580419
"FT0085",494.51124125874,685.458776223774,600.979006993011,398.484513986013,681.501073426572,636.30697552448,407.956206293706,553.854020979025,652.478895104894,423.319090909095
"FT0086",10200.4637202797,6172.86036713287,7543.99741258742,8372.7408986014,6859.4240874126,8943.47702097901,8367.46656293707,7725.8972832168,7729.40884615385,8325.77232167833
"FT0087",2354.30169329934,7749.8636433566,8326.74036713289,7199.71442926338,7270.87434454956,7151.65967832164,4750.70242431405,6625.21881438621,501.502791627028,6078.43462466799
"FT0088",251.52662937063,441.324996503495,435.871164335666,219.573975524476,296.735685314684,357.13073076923,165.034027972029,369.087083916085,296.727555944059,230.200363636364
"FT0089",24653.4637974813,27653.5808916084,26553.432513986,25139.4114125874,28531.1639383474,26766.9803268042,24580.288583916,26137.673630648,9429.25407837108,24658.9914508461
"FT0090",740.321297202796,1429.7767972028,957.461664335669,1720.98158391609,1715.22338811189,947.488552447549,1238.04981818182,756.459035916387,761.429162928357,1345.10615034965
"FT0091",479.285255244755,240.32995110309,316.137960817055,464.592555944056,220.748599876403,382.170167832168,445.688842657343,207.987308188865,323.997041958043,390.56032867133
"FT0092",556.175413223192,450.997199515192,413.969013986013,364.709248771178,454.769674825176,422.849213286713,541.856841467509,350.58105944056,495.77617132867,592.180028631463
"FT0093",608.09350699301,437.873587836535,401.768474787946,1465.19548951049,468.489266621865,430.465400266007,1390.8202027972,371.441840965171,498.257140088685,921.511636363636
"FT0094",2127.36524475524,3725.78973776223,1841.5047062937,2302.72097202797,1163.31553846154,1668.12766783218,1350.27317832169,2303.90428321679,3636.05142141916,1798.3488041958
"FT0095",1226.15658117706,792.705986013989,994.581020979008,1915.28004545454,1071.47196338092,1394.97886363637,4197.76311188812,1428.19449650351,989.376923076922,1104.84000000001
"FT0096",2479.99848251748,1261.76221678323,1160.74958391608,2157.29586356357,1008.59800699301,943.894395104883,1236.2555034965,1203.13189510489,1244.02903055532,1861.9020366357
"FT0097",71928.5608204846,35457.8001481824,32046.1520139861,48689.0844739106,36209.7883531468,35044.7103671329,39913.2802469504,32471.5727097902,37995.1373181818,48594.0400617222
"FT0098",108020.902479021,125.282706293707,33363.8055069764,114972.418783609,39386.6751596014,37870.1466446686,114024.449517482,34802.6233592953,41072.278522703,115287.196688811
"FT0099",1826.56715034965,2968.58698951049,2272.36974058744,1904.60943356643,2723.80838811188,2727.13655244755,1852.05562061462,2414.28195104895,2473.01275174825,1638.12963986014
"FT0100",7092.7958811189,3169.65155500402,2753.637,9895.11382867133,3185.97026223776,2931.49787412586,4984.00949999997,2729.72787062937,3183.43584965034,3600.50150349652
"FT0101",367.12725524476,NA,NA,276.836286713288,NA,NA,568.127895104892,NA,NA,476.400533125559
"FT0102",586.819919580419,878.934545454545,659.075120624646,645.311391608392,800.331010489513,937.755419580418,745.362214720167,777.984346153844,834.215527972027,682.106874125874
"FT0103",9187.72949588093,10555.8189965035,10226.5635524476,9772.09661538463,9903.93559687992,10132.6657882961,9523.65947202796,10046.149399106,3107.88400932673,6422.26783216783
"FT0104",591.732660839159,36.8999757425113,90.6331223304185,376.141751748253,42.5961042192121,42.7640718261051,294.824025649822,89.476584636331,19.4114220873978,603.005821678319
"FT0105",1997.61918881119,1389.50422027972,4404.51218732641,3038.28073426573,1452.76275524475,1606.78441258741,3432.13443356644,1818.16951048951,3542.29780197583,1892.51910839161
"FT0106",3091.18082517482,4218.91984905996,4309.98736567114,11228.317185863,4084.00331739686,3378.73354084835,6627.10260839161,6319.441358116,2725.02426337852,9445.13853146852
"FT0107",1220.18016083916,4756.8461581906,3078.45730233031,12323.2615594406,1913.88447663585,4723.51029497444,1452.91005944056,5479.79061832037,2773.93883790704,1432.18113986014
"FT0108",2135.89002797203,920.094093110468,797.530279720277,1194.75051398601,972.896412587414,869.809164335663,2269.04684265734,832.596157342655,966.553877622378,3036.32448251748
"FT0109",1242.23351748252,574.2802027972,1129.78448685789,882.7068986014,572.658230769235,478.093489510492,1240.48150493856,828.363681818177,402.932255244753,1229.59039510489
"FT0110",3399.56654895106,2926.29132351463,3810.76214685314,3401.22331468532,4483.5456083916,4216.10849999999,3633.45244405593,3635.22269580419,4223.62682247214,3688.56372377621
"FT0111",3058.98754195804,3596.61046153845,3149.28176223775,3134.27787062936,3615.88910139861,3707.43121990387,3385.16260489509,4525.88369580418,2764.19510139859,2908.41468881119
"FT0112",1047.53672740143,259.079790209791,1206.396,762.920622377621,886.084489510493,453.924870629369,392.338384615384,1123.69776516267,308.960958041958,1079.06079020979
"FT0113",1197.5662027972,983.347531468533,1144.15111421716,1198.18045804196,390.104108391608,323.671541958042,1350.40552447552,1309.82217590046,343.123499999999,912.324472027976
"FT0114",57941.5454685315,13980.0952536027,14023.9629650349,63765.2735910831,14414.646534965,14090.0202797203,62679.0870839161,12067.4780664336,15755.1937342657,63198.2699895104
"FT0115",475.453395104898,196.070013986014,457.979542401262,332.286723776226,233.153276223776,152.513496503497,512.855223770972,319.34509090909,147.709323947218,496.877596193194
"FT0116",481.84438111888,406.380083916083,482.435223776225,495.890307692306,461.186999999998,521.565786713289,453.600346153849,402.929979020982,463.174468531468,505.669615384618
"FT0117",2850.99824475524,1236.8895944056,2564.08670062265,1915.38735314685,1452.08769230769,857.891181818185,2285.50477442197,1823.3671048951,882.623328671331,2313.74050200684
"FT0118",2269.54338461539,3756.85303846156,3736.20768881121,2897.39776573428,3112.90543006991,3015.28372027972,2204.31526573427,3662.64598951047,1053.54513980763,2225.85842307693
"FT0119",254.004786713286,46.0259594408766,352.159783216785,285.527757577801,50.9588421769318,22.1675535286828,285.557150349652,312.04133916084,NA,305.022765734267
"FT0120",1023.59116783217,437.791646853145,907.697834334764,687.102209790212,486.127909090912,337.244664335666,811.829997076551,688.904979020976,328.119608391611,784.63306526003
"FT0121",362.501643356644,419.485930069929,275.316501922505,409.810678321679,340.80695454545,275.217241258743,301.879300699297,223.703437800626,156.637424369786,353.672171328672
"FT0122",2797.68199626208,672.108200355657,1240.07237093047,1178.69988461538,724.620195338424,650.557180793728,1377.24838111887,2162.42006643356,626.613604743408,1188.31888111888
"FT0123",3114.54626223778,5186.01648709639,6310.06853496503,2398.03784265735,3446.80437062939,3596.00628671329,2613.61411888112,3701.34179370631,2504.81127272726,2739.11859440559
"FT0124",753.284066433568,944.893332167827,923.490975524476,832.128881118876,1000.55545804195,1073.78092657342,760.582615384616,922.205559440561,1159.10419930069,758.854311188813
"FT0125",12256.3425314685,10113.1276153846,92681.2047797202,12347.3254720279,42279.3688034607,7888.8284055943,11849.0786223776,15541.7372727272,11948.5099300699,11254.1537202796
"FT0126",29662.8216897744,13645.1271398601,20535.2102022435,51147.8782342657,13592.5762867134,15006.835090909,36301.7709110138,12864.7797482517,11356.7668636363,21320.1306608392
"FT0127",26429.0537989781,12747.5633286714,26911.6705356265,19569.1582027972,16863.5387937063,13732.8053286713,24203.8634986639,30089.8149206644,12711.3687692308,22753.2465820137
"FT0128",962.709335664345,943.910003496503,1202.35277622377,1049.74140209791,1588.40748251749,1242.05076923077,929.965206293704,1274.37965034965,1158.70748601399,985.204604895101
"FT0129",1077.87065034965,1307.90810139859,988.062566433567,1124.59176923077,1426.07305594406,1320.38148251748,1121.221006993,1369.92056643357,1461.57922027971,1160.73625174825
"FT0130",22075.0747447552,10623.2140804196,20367.3241345356,15393.7316748252,11105.3927412587,7439.53077272726,18460.6465086327,14623.2917097902,7119.24332517482,19157.6832011124
"FT0131",352.642724545496,388.653075826939,350.052325174825,391.589936683187,349.313896103153,432.395695804195,442.027031384323,382.16724125874,411.855702797202,634.731827918764
"FT0132",459.832972027974,2.04589771018402,NA,251.293746069447,1.37683967877789,NA,557.57076923077,3.56579963683493,15.2739790439425,1022.88326223776
"FT0133",7707.85485720693,8399.39808041958,8564.04944382732,7822.64882517482,8348.00064030486,8218.61453496505,7595.27964124631,7793.34537062937,7653.64863986015,7553.79982480439
"FT0134",3149.17835664336,2828.3042937063,2875.15905944056,1663.37207482029,2910.30558041957,1824.66552797202,3163.68473076923,2752.6669410153,111.36399537277,3095.16385671837
"FT0135",1280.74722377622,7082.18022377623,6907.93635947886,5903.74568181818,6500.54066433566,6785.40584265733,6012.1888204769,7581.52388811188,6810.40625874127,5952.74741667966
"FT0136",9178.71596853144,4236.63873776224,8565.4430022222,6250.47439510488,4464.34468531468,2879.26959440559,7517.15681606168,6191.57710489512,2842.31932867133,7572.86038995636
"FT0137",797.56182167832,286.783384615381,807.22406643357,508.106150349649,277.503545454542,158.627758741259,681.903314685313,543.601909090909,146.608646853145,798.3837836302
"FT0138",531.853342657341,825.137622377623,516.266412587411,709.299293706294,789.831115384611,649.725767134845,595.416260947179,878.739115384613,834.452255244755,598.724895104893
"FT0139",1899.19852447552,1112.3458617118,1523.84011888112,1899.85602797203,1861.41477291629,2136.19305923647,2063.08078321678,1449.13217832168,472.951681237864,2022.28467482518
"FT0140",1312.94408391608,629.919241258739,1193.35281615021,861.702881118882,623.613125874129,338.964513986013,975.103505233109,844.617220279716,351.30002097902,1087.10000290402
"FT0141",649.953262237762,935.800143356644,661.528455773934,692.043566433565,913.27690909091,857.63656993007,669.945754553519,885.868573426573,898.794272727272,683.817293706297
"FT0142",6228.1683776224,1055.75960274465,3669.6548076923,2250.5587027972,378.138650349649,1412.45375874126,3061.7668111888,2217.68255244755,798.478489510495,3611.42282517482
"FT0143",423.300555944054,NA,18.223399872247,79.7094773568717,NA,5.85947455496067,215.689762237762,17.9744787590244,NA,277.933426573425
"FT0144",9167.98064685315,12800.7567272727,10065.6783204162,9583.81096153846,12542.1468146853,12940.6667727273,9773.79768393623,12337.491534965,11937.5040629371,9477.13670979021
"FT0145",1038.41426223776,1054.52176535722,1263.4953986014,1731.1059020979,1336.06043706294,2253.24887412588,887.398656749992,2178.04016433567,1200.76722377622,1084.16310839161
"FT0146",3914.67306293708,NA,1532.09338111887,1242.74956993008,111.04884530033,444.554307692306,2226.33773076923,1959.07166433566,484.092965034968,2024.73291608391
"FT0147",2263.8420944056,3288.05304545455,2424.45839916967,2426.38658391608,3115.47463636363,3206.9668006993,2507.48824019701,3106.35218181819,3059.21581468531,2435.0550944056
"FT0148",843.032968531468,6.48312914953108,317.94066083916,276.615167832167,18.1767862934646,68.0067882144381,439.607097902097,183.668026280729,52.091006460774,422.249265734264
"FT0149",1658.36234265734,2285.23372027972,1726.75485422923,1783.57383566433,2256.26487062937,2058.55499999999,1700.45144263225,2211.10296503496,2142.85006993007,1625.28783566433
"FT0150",2697.36452097904,413.12064854062,1670.79897902098,1258.62062518287,259.516421801555,528.3246553031,1371.4414090909,1193.06740909091,469.965625133673,1499.87993706294
"FT0151",188.533762237764,218.198811188811,191.170291631246,191.479520979021,228.322479020979,342.641916083916,203.68800206876,147.55245519726,322.164031468532,214.696678321678
"FT0152",959.179562937062,1153.41038811188,1062.38354895105,1150.71306293706,1240.33026923077,976.660311188815,991.632010489516,1033.16594055944,1180.17845454545,1036.46548951049
"FT0153",496.003793706292,499.623965034963,548.200856643356,476.108297202797,424.781076923077,479.935279720283,448.703213286718,425.993979020978,462.166751748251,477.626538461542
"FT0154",295.828772727274,137.769768554617,252.889229331979,185.623772727274,23.8051933135799,45.5706241997247,194.113111888112,177.165,57.8522821382904,217.955255244755
"FT0155",654.908601398601,NA,NA,524.909234265734,NA,53.5559388552091,566.58429020979,1281.6294248386,NA,499.866870629372
"FT0156",424.379811188812,542.355839160836,441.213786713286,502.075783216783,565.860451048948,433.864185314689,493.97860489511,495.62594055944,560.009905594403,495.92445104895
"FT0157",4013.04885314686,1758.40400349651,3282.91304864914,2401.8388111888,1778.53037412587,1062.30355594406,3077.0834235309,2437.89939860139,1181.31168881119,2888.58274356795
"FT0158",873.363975524477,434.114731700036,537.996220279719,950.070765734266,724.497639860138,549.566590909091,1100.90408391608,383.519968531467,324.006317228803,924.365045454545
"FT0159",30853.0459090909,23417.583409141,34400.8372237762,35510.7447134369,8718.37312237758,18915.6830875985,32468.5947587412,32822.2861153846,8147.11451189791,31896.8733566433
"FT0160",781.635083916088,253.209050058078,645.724671320959,447.90881118881,219.781684969312,62.9739424503164,606.011413330458,398.410699300698,32.1233699016423,466.529312231077
"FT0161",292.366961538461,938.441213286715,674.66709425386,514.161555944057,851.270947552446,802.019968531467,423.060774246725,754.591594405592,934.093951048953,390.402293706291
"FT0162",492.330618881116,35.1897608015077,NA,484.603164335664,75.6215201463009,NA,427.188346153846,156.469430391355,NA,445.831269230769
"FT0163",1695.25212587413,686.728909090906,1440.71077854263,1088.49313636364,642.736006993011,431.333674825176,1269.11876564443,1010.47914335664,402.069891608394,1274.60930754445
"FT0164",951.66022027972,436.464608391608,2602.72237562329,2715.00785664336,831.33773076923,2602.65995454545,2476.34790165476,706.916737762237,2740.48205244755,2533.40045543667
"FT0165",193.434797202798,633.380727272727,2702.12079587425,1973.6712066905,272.783307692308,1820.4139021691,587.304206403487,1035.95268881119,1952.32333724828,2568.38685314685
"FT0166",NA,218.482363636363,208.576888111888,NA,108.814841613623,178.943706293706,NA,284.204097902099,295.893157342656,NA
"FT0167",329.971153846155,22.6233532546436,273.187503958789,156.15447902098,100.908931707929,8.52204981861396,266.207768450589,136.375475527264,39.8557198537341,249.750752373075
"FT0168",199.544527576518,526.756802970991,415.115894945527,241.981844809375,500.819632867132,474.798452109961,137.790573512408,390.920297202797,497.870622377623,236.383246026956
"FT0169",13622.6444288509,10593.3456795994,9148.017513986,1272.27112379751,10557.0829510489,10341.2250734266,16911.2338726272,9222.5553881119,10779.8800594405,2502.59326140265
"FT0170",10793.8505454546,5524.77309764084,2796.39394459964,10576.733590909,6088.09409724441,5805.90706341717,30319.7764300699,3918.67067039482,6347.19792001539,14680.3390804196
