"","MS_QC_POOL_1_POS.mzML","MS_A_POS.mzML","MS_B_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_4_POS.mzML"
"FT0001",421.616150349651,689.242185314685,411.343739785981,481.743576923077,314.767607225494,635.273244755243,439.608604621296,570.584916083916,579.935968531467,437.033989510489
"FT0002",710.807779720276,875.9191993007,457.605807621183,693.699681818183,781.241622377623,648.434370629369,700.971566433567,1054.0207027972,534.457667832165,711.036052447552
"FT0003",445.57112937063,613.441006993007,277.505784557211,497.886555944055,425.382997974589,634.937013986013,449.093316832057,556.261688120092,461.046524475526,232.107513986015
"FT0004",16994.526041958,24605.7340005291,19766.706925836,17808.0932937062,22780.6683461538,22873.1061188811,16965.776196903,23432.1252167832,22198.4607062937,16796.4496993007
"FT0005",3284.26638461539,4526.05311188811,3521.82205851536,3379.89087062936,4396.07618181817,4317.77343356643,3270.52904046116,4533.86673776223,4161.01315384615,3142.22676923078
"FT0006",10681.7475560084,10009.6602377622,9599.97013559367,10800.5449195804,4792.23904464057,7296.42620979017,2382.17883910815,9236.97994839713,6817.87845104894,6911.54385244573
"FT0007",14704.1740699301,30478.7729370629,50639.1679664345,33109.0223496503,69766.1069322346,27758.5658601398,15110.3213286713,18427.421916084,15789.1758041958,41577.7642867134
"FT0008",80134.7293627073,61596.178174825,75630.3749884609,69417.4407310638,16257.6616783216,35759.6020174825,54151.1171538461,84101.4270209791,14200.8170979021,25577.3074405594
"FT0009",26622.6154090908,34580.4234755244,43616.3780061241,19273.7186643356,36992.3368531469,49199.9021853146,24470.0601713287,40346.8884755244,39119.9928041959,26245.1736083916
"FT0010",22798.0510760424,18796.8183412995,22978.8949321893,7962.15307118165,23687.377048951,16504.7704825175,44570.4961573426,24991.6434856442,22190.86006993,3242.38556112478
"FT0011",195.522942146014,146.786866449817,405.88386713287,133.34248951049,285.928174825175,227.372318181818,174.984377622378,275.206185314685,185.370136363636,154.214160839162
"FT0012",405.528776223774,425.756276223778,355.809545454545,414.844709790208,487.997013986012,410.029195804195,376.485136363636,521.331660839163,280.464587412587,453.281674825173
"FT0013",4551.64957342658,1415.59950983834,1295.61909440559,4388.05411888112,1394.15812237762,1304.61895804195,1774.54210489511,1180.89513986014,1480.37887762238,1291.28679020979
"FT0014",818.411381118883,343.836933566432,728.984010648551,487.843531468535,396.55687762238,193.319685314683,698.329412830012,533.046083916081,202.432384615385,665.089736880168
"FT0015",260.217576923076,363.465786713285,36.1073716774025,231.858104895105,64.4650300273139,468.664720279718,222.049856643357,499.953692307689,3.14573233288411,264.589552447552
"FT0016",2914.93476923077,940.617080424395,3150.81174533531,3031.23387062937,5057.69606643356,3028.56255944056,4086.20459862667,3003.86910839161,3022.77282167832,3649.5007972028
"FT0017",240.455076923079,91.8928482783586,134.368590627175,205.214255244757,62.3693568585089,49.8566054837784,229.329118411632,122.639582353498,36.9188956759441,246.261295822178
"FT0018",445.25232867452,423.007248251747,436.01521678322,457.982402097904,302.011884999074,365.430167832167,431.336692445689,385.328503499573,38.0483657136832,386.148681818181
"FT0019",657.568299815014,676.17145804196,740.734594405596,590.856160277284,831.313342657344,684.206527972027,430.641803868725,466.521662660627,647.429580419584,538.357411276797
"FT0020",1262.07308391608,790.246688811192,1293.41505944056,1497.50908741258,1203.65997902098,839.815038461541,1438.28369580419,1260.68231118881,339.673098974794,573.126291881754
"FT0021",250.165447552447,44.0699280118085,349.098587412586,320.164206293706,361.978762237761,351.053538461538,265.077965034965,322.352958041958,331.059188811192,253.263373496622
