filename,FileProperties.Pathname,FileProperties.Version,FileProperties.Content Creation Date,InstrumentProperties.Thermo Scientific instrument model,InstrumentProperties.instrument attribute,InstrumentProperties.instrument serial number,InstrumentProperties.Software Version,InstrumentProperties.firmware version,MsData.Number of MS1 spectra,MsData.Number of MS2 spectra,MsData.MS min charge,MsData.MS max charge,MsData.MS min RT,MsData.MS max RT,MsData.MS min MZ,MsData.MS max MZ,ScanSettings.scan start time,ScanSettings.expected runtime,ScanSettings.mass resolution,ScanSettings.mass unit,ScanSettings.Number of scans,ScanSettings.Retention time range,ScanSettings.Mz range,ScanSettings.beam-type collision-induced dissociation,ScanSettings.MS scan range,SampleData.sample number,SampleData.Vial,SampleData.injection volume setting,SampleData.Row,SampleData.dilution factor,SampleData.device acquisition method
10__Sel_delta5_ex10-metadata,raw_10micro/10__Sel_delta5_ex10.raw,66,07/11/2023 11:02:55,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4890,5557,1,16,0.0034137631,16.001602,150.0584869384766,1484.716064453125,0.0034137631,16,0.5,None,10447,0.0034137631:16.001602,50:6000,HCD,1:10447,1,B:B1,10,39,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
11__Sel_WT1_stat10-metadata,raw_10micro/11__Sel_WT1_stat10.raw,66,07/11/2023 11:36:45,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4602,5907,1,17,0.0034214601,16.001515,150.1028137207031,1499.71337890625,0.0034214601,16,0.5,None,10509,0.0034214601:16.001515,50:6000,HCD,1:10509,1,B:B2,10,41,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
12__Sel_WT2_stat10-metadata,raw_10micro/12__Sel_WT2_stat10.raw,66,07/11/2023 11:53:39,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4464,6079,1,16,0.0034174984,16.001592,150.1024627685547,1499.714965820312,0.0034174984,16,0.5,None,10543,0.0034174984:16.001592,50:6000,HCD,1:10543,1,B:B3,10,42,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
13__Sel_WT3_stat10-metadata,raw_10micro/13__Sel_WT3_stat10.raw,66,07/11/2023 12:10:33,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4572,5979,1,15,0.0034187302,16.000017,150.0583038330078,1499.717041015625,0.0034187302,16,0.5,None,10551,0.0034187302:16.000017,50:6000,HCD,1:10551,1,B:B4,10,43,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
14__Sel_WT4_stat10-metadata,raw_10micro/14__Sel_WT4_stat10.raw,66,07/11/2023 12:27:27,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4466,6065,1,17,0.0034158135,16.000366,150.1025238037109,1499.713989257812,0.0034158135,16,0.5,None,10531,0.0034158135:16.000366,50:6000,HCD,1:10531,1,B:B5,10,44,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
15__Sel_WT5_stat10-metadata,raw_10micro/15__Sel_WT5_stat10.raw,66,07/11/2023 12:44:21,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4378,6223,1,17,0.003419811,16.000852,150.1026153564453,1484.5576171875,0.003419811,16,0.5,None,10601,0.003419811:16.000852,50:6000,HCD,1:10601,1,B:B6,10,45,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
16__Sel_delta1_stat10-metadata,raw_10micro/16__Sel_delta1_stat10.raw,66,07/11/2023 13:01:15,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4387,6161,1,15,0.0034095113,16.00168,150.1023864746094,1368.340209960938,0.0034095113,16,0.5,None,10548,0.0034095113:16.00168,50:6000,HCD,1:10548,1,B:B7,10,46,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
17__Sel_delta2_stat10-metadata,raw_10micro/17__Sel_delta2_stat10.raw,66,07/11/2023 13:18:09,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4365,6160,1,15,0.0034149791,16.000504,150.1025085449219,1475.122314453125,0.0034149791,16,0.5,None,10525,0.0034149791:16.000504,50:6000,HCD,1:10525,1,B:B8,10,47,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
18__Sel_delta3_stat10-metadata,raw_10micro/18__Sel_delta3_stat10.raw,66,07/11/2023 13:35:03,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4531,5962,1,15,0.0034237449,15.998612,150.1026458740234,1499.71484375,0.0034237449,16,0.5,None,10493,0.0034237449:15.998612,50:6000,HCD,1:10493,1,B:B9,10,48,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
19__Sel_delta4_stat10-metadata,raw_10micro/19__Sel_delta4_stat10.raw,66,07/11/2023 13:51:57,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4403,6056,1,17,0.0034146969,16.000613,150.0585021972656,1476.121459960938,0.0034146969,16,0.5,None,10459,0.0034146969:16.000613,50:6000,HCD,1:10459,1,B:C1,10,49,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
