filename,FileProperties.Pathname,FileProperties.Version,FileProperties.Content Creation Date,InstrumentProperties.Thermo Scientific instrument model,InstrumentProperties.instrument attribute,InstrumentProperties.instrument serial number,InstrumentProperties.Software Version,InstrumentProperties.firmware version,MsData.Number of MS1 spectra,MsData.Number of MS2 spectra,MsData.MS min charge,MsData.MS max charge,MsData.MS min RT,MsData.MS max RT,MsData.MS min MZ,MsData.MS max MZ,ScanSettings.scan start time,ScanSettings.expected runtime,ScanSettings.mass resolution,ScanSettings.mass unit,ScanSettings.Number of scans,ScanSettings.Retention time range,ScanSettings.Mz range,ScanSettings.beam-type collision-induced dissociation,ScanSettings.MS scan range,SampleData.sample number,SampleData.Vial,SampleData.injection volume setting,SampleData.Row,SampleData.dilution factor,SampleData.device acquisition method
1__Sel_WT1_ex10-metadata,raw_10micro/1__Sel_WT1_ex10.raw,66,07/11/2023 01:17:09,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4435,6102,1,15,0.003414844,15.999087,150.0582580566406,1499.516357421875,0.003414844,16,0.5,None,10537,0.003414844:15.999087,50:6000,HCD,1:10537,1,B:A1,10,30,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
20__Sel_delta5_stat10-metadata,raw_10micro/20__Sel_delta5_stat10.raw,66,07/11/2023 14:08:51,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4321,6201,1,18,0.0034078623,16.000959,150.1026458740234,1499.716430664062,0.0034078623,16,0.5,None,10522,0.0034078623:16.000959,50:6000,HCD,1:10522,1,B:C2,10,50,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
2__Sel_WT2_ex10-metadata,raw_10micro/2__Sel_WT2_ex10.raw,66,07/11/2023 01:34:01,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4144,6502,1,19,0.0034204786,16.00105,150.0583038330078,1499.515014648438,0.0034204786,16,0.5,None,10646,0.0034204786:16.00105,50:6000,HCD,1:10646,1,B:A2,10,31,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
3__Sel_WT3_ex10-metadata,raw_10micro/3__Sel_WT3_ex10.raw,66,07/11/2023 01:50:55,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,3954,6630,1,16,0.0034165288,15.999943,150.0583343505859,1499.516357421875,0.0034165288,16,0.5,None,10584,0.0034165288:15.999943,50:6000,HCD,1:10584,1,B:A3,10,32,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
4__Sel_WT4_ex10-metadata,raw_10micro/4__Sel_WT4_ex10.raw,66,07/11/2023 02:07:49,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4334,6183,1,15,0.0034212813,16.001151,150.0585479736328,1499.715209960938,0.0034212813,16,0.5,None,10517,0.0034212813:16.001151,50:6000,HCD,1:10517,1,B:A4,10,33,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
5__Sel_WT5_ex10-metadata,raw_10micro/5__Sel_WT5_ex10.raw,66,07/11/2023 09:38:25,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,3168,7367,1,15,0.0034105485,16.000107,150.0587005615234,1480.077392578125,0.0034105485,16,0.5,None,10535,0.0034105485:16.000107,50:6000,HCD,1:10535,1,B:A5,10,34,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
6__Sel_delta1_ex10-metadata,raw_10micro/6__Sel_delta1_ex10.raw,66,07/11/2023 09:55:19,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4438,6082,1,16,0.003418762,16.00117,150.0585327148438,1484.701416015625,0.003418762,16,0.5,None,10520,0.003418762:16.00117,50:6000,HCD,1:10520,1,B:A6,10,35,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
7__Sel_delta2_ex10-metadata,raw_10micro/7__Sel_delta2_ex10.raw,66,07/11/2023 10:12:13,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4252,6286,1,17,0.0034101312,16.00137,150.0581817626953,1499.516235351562,0.0034101312,16,0.5,None,10538,0.0034101312:16.00137,50:6000,HCD,1:10538,1,B:A7,10,36,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
8__Sel_delta3_ex10-metadata,raw_10micro/8__Sel_delta3_ex10.raw,66,07/11/2023 10:29:07,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4227,6320,1,25,0.0034070795,16.000459,150.0583801269531,1499.51416015625,0.0034070795,16,0.5,None,10547,0.0034070795:16.000459,50:6000,HCD,1:10547,1,B:A8,10,37,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
9__Sel_delta4_ex10-metadata,raw_10micro/9__Sel_delta4_ex10.raw,66,07/11/2023 10:46:01,Q Exactive HF Orbitrap,Q Exactive HF Orbitrap,Exactive Series slot #05554L,2.12-212021/2.12.0.3134,rev. 1,4296,6262,1,20,0.0034134453,16.000767,150.0583801269531,1499.515991210938,0.0034134453,16,0.5,None,10558,0.0034134453:16.000767,50:6000,HCD,1:10558,1,B:A9,10,38,1,D:\Methods\RP_pos_normal-flow\Column_Valve_6-1\500uL_10min_5-99_DDA_Top5_R30K_R15K_valve6-1.meth
